Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,B365AHH,B365AHA,B365AH,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,EloHome,EloAway
P1,28/08/04,Belenenses,Maritimo,3,0,H,2,0,H,2.25,3.2,2.75,2.25,3.2,2.8,2.25,3.2,2.8,2.2,3.0,2.9,,,,2.25,3.2,2.75,2.15,3.2,2.9,2.1,1.6,2.25,1.49,-0.5,,,,,,,,,,,,,1417.13,1480.85
P1,28/08/04,Sp Lisbon,Gil Vicente,3,2,H,2,0,H,1.25,4.5,10.0,1.35,4.0,8.0,1.35,4.0,8.0,1.3,4.2,8.0,,,,1.29,4.5,8.0,1.25,4.5,10.0,,,1.35,2.67,-0.5,,,,,,,,,,,,,1637.23,1434.49
P1,29/08/04,Beira Mar,Benfica,2,3,A,0,2,A,4.33,3.4,1.66,4.5,3.5,1.65,4.5,3.3,1.7,4.4,3.3,1.65,,,,4.5,3.5,1.62,4.5,3.3,1.66,1.83,1.83,1.9,1.7,0.5,,,,,,,,,,,,,1417.37,1693.72
P1,29/08/04,Boavista,Nacional,1,0,H,0,0,D,1.72,3.4,4.0,2.0,3.2,3.35,1.9,3.2,3.65,1.8,3.1,3.8,,,,1.91,3.2,3.5,1.8,3.3,3.75,2.0,1.65,1.9,1.71,-0.5,,,,,,,,,,,,,1497.58,1513.98
P1,29/08/04,Estoril,Rio Ave,0,0,D,0,0,D,2.25,3.2,2.75,2.3,3.2,2.75,2.3,3.2,2.75,2.2,2.9,3.0,,,,2.25,3.2,2.75,2.15,3.2,2.9,1.85,1.79,2.3,1.48,-0.5,,,,,,,,,,,,,1400.0,1484.72
P1,29/08/04,Moreirense,Guimaraes,0,0,D,0,0,D,1.9,3.2,3.5,1.85,3.25,3.75,1.85,3.25,3.75,2.0,3.1,3.2,,,,1.91,3.25,3.4,2.0,3.25,3.15,2.1,1.6,1.85,1.74,-0.5,,,,,,,,,,,,,1477.1,1443.13
P1,29/08/04,Penafiel,Setubal,1,4,A,1,1,D,1.9,3.2,3.5,1.85,3.25,3.75,1.85,3.25,3.75,2.1,2.9,3.2,,,,1.91,3.25,3.4,1.95,3.25,3.3,1.85,1.79,1.85,1.74,-0.5,,,,,,,,,,,,,1400.0,1390.08
P1,30/08/04,Academica,Sp Braga,2,2,D,1,2,A,2.3,3.25,2.62,2.3,3.2,2.75,2.3,3.2,2.75,2.4,2.9,2.7,,,,2.38,3.1,2.62,2.35,3.1,2.65,1.9,1.75,2.3,1.48,-0.5,,,,,,,,,,,,,1418.77,1499.97
P1,05/09/04,Guimaraes,Academica,2,1,H,2,0,H,,,,1.8,3.4,3.8,1.8,3.25,4.0,1.8,3.1,3.8,,,,1.9,3.25,3.4,1.8,3.25,3.8,1.95,1.71,1.8,1.79,-0.5,,,,,,,,,,,,,1447.72,1418.09
P1,10/09/04,Gil Vicente,Boavista,0,1,A,0,1,A,2.6,3.1,2.4,2.55,3.2,2.45,2.5,3.2,2.5,2.5,3.0,2.5,,,,2.5,3.1,2.5,2.5,3.1,2.5,2.0,1.65,1.9,1.9,0.0,,,,,,,,,,,,,1430.77,1507.13
