Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GBAHH,GBAHA,GBAH,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,EloHome,EloAway
SC2,07/08/04,Berwick,Morton,2,1,H,2,0,H,2.5,3.5,2.25,2.5,3.5,2.3,2.5,3.4,2.3,2.6,3.1,2.2,2.5,3.5,2.25,2.62,3.4,2.2,2.62,3.5,2.2,1.44,2.3,0.5,,,,,,,,,,,,,,,,1193.67,1250.54
SC2,07/08/04,Dumbarton,Ayr,1,0,H,1,0,H,2.3,3.4,2.5,2.3,3.5,2.5,2.3,3.4,2.5,2.2,3.1,2.6,2.1,3.5,2.75,2.3,3.4,2.5,2.3,3.4,2.5,2.3,1.44,-0.5,,,,,,,,,,,,,,,,1286.91,1257.2
SC2,07/08/04,Forfar,Brechin,1,0,H,1,0,H,2.75,3.5,2.1,2.8,3.5,2.1,2.75,3.5,2.1,2.7,3.2,2.1,2.38,3.5,2.38,2.8,3.4,2.1,3.0,3.4,2.0,1.54,2.1,0.5,,,,,,,,,,,,,,,,1201.6,1216.21
SC2,07/08/04,Stirling,Arbroath,5,2,H,2,0,H,2.1,3.5,2.75,2.0,3.5,2.95,2.25,3.4,2.55,2.1,3.2,2.7,1.8,3.5,3.5,2.1,3.4,2.8,2.25,3.4,2.6,2.25,1.46,-0.5,,,,,,,,,,,,,,,,1233.08,1183.42
SC2,07/08/04,Stranraer,Alloa,3,0,H,0,0,D,2.1,3.5,2.75,2.0,3.5,2.95,2.1,3.5,2.75,2.1,3.2,2.7,1.91,3.5,3.2,2.1,3.4,2.8,2.1,3.4,2.8,2.1,1.54,-0.5,,,,,,,,,,,,,,,,1272.12,1211.75
SC2,14/08/04,Alloa,Forfar,2,3,A,0,0,D,2.25,3.5,2.5,2.3,3.45,2.5,2.3,3.4,2.55,2.2,3.2,2.5,2.25,3.5,2.5,2.25,3.4,2.6,2.25,3.4,2.6,2.3,1.46,-0.5,,,,,,,,,,,,,,,,1204.64,1211.09
SC2,14/08/04,Arbroath,Dumbarton,0,2,A,0,1,A,2.75,3.5,2.1,3.2,3.5,1.9,2.8,3.4,2.1,2.6,3.3,2.1,2.62,3.5,2.2,2.8,3.4,2.1,2.75,3.5,2.1,1.54,2.1,0.5,,,,,,,,,,,,,,,,1175.99,1294.95
SC2,14/08/04,Ayr,Berwick,2,1,H,2,0,H,2.0,3.4,3.0,2.1,3.55,2.75,2.15,3.4,2.75,2.1,3.3,2.6,2.0,3.6,2.88,2.0,3.4,3.0,2.2,3.5,2.62,2.15,1.52,-0.5,,,,,,,,,,,,,,,,1249.16,1204.63
SC2,14/08/04,Brechin,Stirling,0,3,A,0,2,A,1.8,3.5,3.5,1.7,3.6,3.9,1.83,3.5,3.4,1.85,3.3,3.1,1.91,3.5,3.2,1.73,3.5,3.8,1.8,3.6,3.4,1.83,1.72,-0.5,,,,,,,,,,,,,,,,1206.72,1240.51
SC2,14/08/04,Morton,Stranraer,3,1,H,2,0,H,1.72,3.6,3.75,1.75,3.6,3.65,1.73,3.5,3.85,1.75,3.4,3.3,1.8,3.5,3.5,1.73,3.5,3.8,1.7,3.75,3.75,1.73,1.83,-0.5,,,,,,,,,,,,,,,,1239.58,1279.23
