Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,EloHome,EloAway
SP1,28/08/04,Ath Madrid,Malaga,2,0,H,1,0,H,1.72,3.25,4.33,1.9,3.35,3.6,1.85,3.25,4.3,1.75,3.1,4.2,1.73,3.2,4.33,1.8,3.25,4.2,1.72,3.2,4.33,1.85,1.85,2.05,1.75,1.85,1.85,-0.5,1.82,2.02,-0.5,1.8,2.1,-0.5,,,,,,1690.88,1675.66
SP1,28/08/04,Espanol,La Coruna,1,1,D,1,0,H,2.87,3.2,2.4,3.4,3.25,2.0,3.0,3.3,2.25,2.9,3.0,2.2,2.6,3.2,2.38,3.0,3.2,2.2,2.62,3.1,2.37,1.9,1.79,2.05,1.75,1.77,2.1,0.25,1.76,2.08,0.25,1.8,2.1,0.25,,,,,,1660.47,1806.52
SP1,28/08/04,Numancia,Betis,1,1,D,1,1,D,2.5,3.2,2.5,2.5,3.15,2.6,2.6,3.2,2.6,2.4,2.9,2.7,2.5,3.2,2.5,2.62,3.1,2.5,2.5,3.1,2.5,1.95,1.75,2.1,1.7,1.95,1.9,0.0,2.02,1.82,0.0,2.0,1.9,0.0,,,,,,1648.06,1714.32
SP1,29/08/04,Mallorca,Real Madrid,0,1,A,0,0,D,5.0,3.4,1.72,4.5,3.4,1.7,4.75,3.3,1.77,3.8,3.1,1.8,4.33,3.2,1.73,4.33,3.4,1.73,4.2,3.25,1.72,1.71,2.0,1.75,2.05,1.95,1.9,0.75,1.9,1.94,0.75,1.95,1.95,0.75,,,,,,1701.01,1780.84
SP1,29/08/04,Osasuna,Ath Bilbao,1,1,D,1,1,D,2.3,3.2,2.7,2.25,3.2,2.9,2.3,3.25,2.95,2.4,2.9,2.7,2.25,3.2,2.75,2.4,3.1,2.75,2.3,3.1,2.75,2.0,1.71,2.05,1.75,1.8,2.05,0.0,2.1,1.74,-0.25,2.125,1.775,-0.25,,,,,,1648.76,1721.65
SP1,29/08/04,Santander,Barcelona,0,2,A,0,0,D,5.0,3.4,1.72,4.5,3.4,1.7,4.75,3.4,1.75,3.8,3.1,1.8,4.5,3.25,1.67,4.33,3.4,1.73,3.8,3.25,1.8,1.75,1.95,1.85,1.95,1.95,1.9,0.75,1.92,1.92,0.75,2.0,1.9,0.75,,,,,,1622.86,1817.14
SP1,29/08/04,Sevilla,Albacete,1,0,H,0,0,D,1.66,3.4,4.5,1.7,3.4,4.5,1.72,3.4,5.0,1.75,3.2,4.0,1.62,3.25,5.0,1.67,3.4,4.75,1.6,3.4,4.8,1.9,1.79,2.1,1.7,1.8,2.05,-0.75,1.76,2.08,-0.75,1.8,2.1,-0.75,,,,,,1717.15,1670.16
SP1,29/08/04,Sociedad,Levante,1,1,D,0,1,A,1.72,3.25,4.33,1.7,3.4,4.5,1.73,3.3,5.0,1.7,3.1,4.4,1.67,3.25,4.5,1.67,3.4,4.75,1.61,3.1,5.5,1.9,1.79,2.0,1.8,2.1,1.77,-0.75,2.12,1.72,-0.75,2.15,1.75,-0.75,,,,,,1707.49,1682.99
SP1,29/08/04,Zaragoza,Getafe,3,1,H,1,1,D,1.72,3.25,4.33,1.85,3.25,4.0,1.8,3.35,4.5,1.75,3.1,4.2,1.62,3.25,5.0,1.73,3.4,4.33,1.72,3.2,4.33,1.9,1.79,2.1,1.7,2.0,1.85,-0.75,,,,,,,,,,,,1678.22,1673.31
SP1,30/08/04,Valencia,Villarreal,2,1,H,2,0,H,1.61,3.4,5.0,1.45,3.75,7.0,1.63,3.3,6.0,1.55,3.5,4.8,1.53,3.5,5.5,1.53,3.6,6.0,,,,1.9,1.79,1.9,1.9,1.85,2.0,-0.75,1.9,1.94,-0.75,1.925,1.975,-0.75,,,,,,1814.52,1688.09
SP1,11/09/04,Ath Bilbao,Valencia,2,2,D,2,0,H,2.7,3.2,2.3,2.7,3.15,2.4,2.8,3.2,2.43,2.5,3.0,2.5,2.6,3.2,2.375,2.8,3.1,2.37,2.5,3.1,2.5,2.0,1.71,2.05,1.75,2.3,1.55,-0.25,2.1,1.74,0.0,2.1,1.8,0.0,,,,,,1722.62,1819.86
SP1,11/09/04,Barcelona,Sevilla,2,0,H,1,0,H,1.444,4.0,7.5,1.4,4.0,7.25,1.45,4.0,7.25,1.4,3.7,6.5,1.364,3.75,8.0,1.44,3.75,7.0,1.4,3.6,7.5,1.65,2.05,1.75,2.05,1.75,2.0,-1.0,1.72,2.12,-1.0,2.1,1.8,-1.25,,,,,,1826.33,1724.66
SP1,11/09/04,Real Madrid,Numancia,1,0,H,1,0,H,1.2,6.0,13.0,1.2,5.5,11.5,1.2,5.9,13.0,1.2,5.0,10.0,1.2,5.0,11.0,1.2,5.5,12.0,1.2,5.0,11.0,1.4,2.65,1.53,2.4,1.8,1.95,-2.0,1.9,1.94,-2.0,2.15,1.75,0.0,,,,,,1794.06,1646.85
SP1,12/09/04,Albacete,Ath Madrid,0,2,A,0,0,D,2.75,3.2,2.5,2.4,3.15,2.7,2.65,3.3,2.53,2.5,3.0,2.5,2.5,3.2,2.5,2.62,3.1,2.5,2.5,3.1,2.5,2.0,1.71,2.1,1.7,2.3,1.55,-0.25,2.04,1.8,0.0,2.075,1.825,0.0,,,,,,1662.65,1699.38
SP1,12/09/04,Betis,Espanol,1,4,A,0,2,A,2.0,3.25,3.25,1.9,3.25,3.7,2.0,3.25,3.7,1.9,3.0,3.6,1.833,3.2,3.75,1.9,3.25,3.75,1.9,3.2,3.5,2.0,1.71,2.05,1.75,1.8,2.05,-0.25,1.84,2.0,-0.25,1.8,2.1,-0.25,,,,,,1715.53,1662.12
SP1,12/09/04,Getafe,Mallorca,1,2,A,0,1,A,2.375,3.2,2.625,2.2,3.2,3.0,2.35,3.2,2.95,2.4,2.9,2.7,2.4,2.875,2.75,2.5,3.2,2.6,2.37,3.1,2.62,1.95,1.75,2.05,1.75,2.05,1.7,-0.25,2.06,1.78,-0.25,2.125,1.775,-0.25,,,,,,1664.47,1687.79
SP1,12/09/04,La Coruna,Osasuna,1,3,A,1,0,H,1.444,3.75,6.5,1.5,3.6,6.25,1.53,3.7,6.5,1.45,3.6,5.8,1.5,3.4,6.0,1.5,3.6,6.5,1.5,3.4,6.0,1.85,1.85,2.0,1.8,2.2,1.6,-1.25,1.9,1.94,-1.0,2.0,1.9,-1.0,,,,,,1804.87,1647.79
SP1,12/09/04,Levante,Santander,3,1,H,0,1,A,2.1,3.2,3.1,2.1,3.2,3.2,2.1,3.25,3.4,2.0,3.0,3.3,2.0,3.2,3.2,2.2,3.1,3.1,2.1,3.1,3.1,2.0,1.71,2.05,1.75,1.5,2.45,0.0,1.84,2.0,-0.25,1.85,2.05,-0.25,,,,,,1687.29,1613.67
SP1,12/09/04,Malaga,Zaragoza,0,0,D,0,0,D,2.1,3.25,3.0,2.15,3.3,3.0,2.2,3.1,3.35,2.0,3.0,3.3,2.2,3.2,2.8,2.1,3.2,3.2,2.1,3.1,3.1,1.85,1.85,2.0,1.8,1.6,2.2,0.0,1.92,1.92,-0.25,1.875,2.025,-0.25,,,,,,1667.16,1687.06
SP1,12/09/04,Villarreal,Sociedad,0,0,D,0,0,D,1.727,3.25,4.333,1.8,3.25,4.2,1.8,3.35,4.5,1.85,3.1,3.6,1.8,3.25,3.75,1.75,3.3,4.5,1.83,3.3,3.6,1.95,1.75,1.95,1.85,2.1,1.67,-1.0,1.9,1.94,-0.75,2.025,1.875,-0.75,,,,,,1682.75,1703.19
SP1,18/09/04,Espanol,Real Madrid,1,0,H,1,0,H,3.75,3.2,2.0,4.0,3.35,1.8,3.8,3.3,1.95,3.5,3.1,1.9,3.75,3.25,1.8,3.8,3.4,1.83,3.75,3.3,1.8,1.71,2.0,1.85,1.95,2.1,1.67,0.25,1.8,2.04,0.5,1.825,2.075,0.5,,,,,,1679.81,1798.91
