Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,EloHome,EloAway
SC2,04/08/07,Airdrie Utd,Raith Rvs,0,1,A,0,1,A,2.05,3.4,2.9,2.2,3.4,2.7,2.2,3.25,2.75,2.1,3.3,2.7,2.1,3.5,2.75,2.2,3.4,2.75,,,,2.1,3.5,2.8,2.2,3.4,2.7,2.1,3.4,2.88,25,2.4,2.28,3.5,3.32,2.8,2.63,10.0,1.98,1.85,1.92,1.89,6.0,-0.25,2.23,2.19,1.72,1.7,1326.83,1286.24
SC2,04/08/07,Berwick,Cowdenbeath,1,1,D,1,0,H,2.05,3.4,2.87,2.15,3.35,2.8,2.1,3.4,2.8,2.2,3.3,2.5,2.2,3.5,2.62,2.1,3.5,2.85,,,,2.1,3.5,2.8,2.1,3.4,2.9,2.1,3.5,2.8,27,2.3,2.14,3.5,3.36,3.2,2.81,10.0,1.9,1.83,2.0,1.91,6.0,-0.25,1.98,1.95,1.97,1.93,1206.59,1187.7
SC2,04/08/07,Peterhead,Alloa,1,4,A,1,2,A,1.95,3.5,3.1,2.0,3.35,3.1,1.92,3.4,3.2,2.0,3.3,2.9,2.1,3.5,2.75,2.0,3.6,3.0,,,,2.0,3.5,3.0,1.9,3.5,3.2,1.91,3.5,3.25,27,2.15,1.98,3.6,3.4,3.4,3.11,10.0,1.72,1.68,2.1,1.97,6.0,-0.5,2.13,2.09,1.8,1.79,1199.87,1165.94
SC2,04/08/07,Queens Park,Brechin,3,0,H,1,0,H,2.75,3.5,2.1,2.7,3.4,2.2,2.6,3.4,2.2,2.5,3.3,2.2,2.37,3.5,2.37,2.7,3.5,2.2,,,,2.5,3.6,2.25,2.6,3.4,2.25,2.4,3.5,2.4,21,3.3,2.71,3.6,3.37,2.28,2.19,8.0,1.85,1.79,2.05,1.98,6.0,0.25,2.01,1.96,2.02,1.91,1149.53,1266.7
SC2,04/08/07,Ross County,Ayr,2,0,H,1,0,H,1.95,3.5,3.2,1.8,3.4,3.7,1.95,3.3,3.2,2.0,3.3,2.9,1.9,3.5,3.2,1.9,3.4,3.4,,,,1.91,3.5,3.25,1.85,3.5,3.4,1.91,3.5,3.25,27,2.1,1.95,3.6,3.4,3.64,3.21,10.0,1.88,1.82,2.02,1.93,6.0,-0.5,2.1,2.08,1.83,1.8,1297.68,1222.08
SC2,11/08/07,Alloa,Airdrie Utd,0,6,A,0,3,A,2.37,3.5,2.37,2.4,3.5,2.4,2.35,3.5,2.4,2.3,3.2,2.4,2.25,3.5,2.5,2.4,3.6,2.4,,,,2.38,3.6,2.38,2.4,3.4,2.5,2.38,3.4,2.5,20,2.5,2.4,3.6,3.42,2.6,2.43,6.0,1.9,1.83,2.04,1.96,4.0,0.0,1.95,1.91,2.0,1.97,1183.03,1309.53
SC2,11/08/07,Ayr,Queens Park,2,3,A,1,1,D,1.8,3.5,3.5,1.75,3.6,3.7,1.75,3.6,3.6,1.7,3.4,3.6,1.72,3.5,3.75,1.8,3.5,3.75,,,,1.8,3.75,3.4,1.84,3.5,3.5,1.8,3.6,3.5,14,1.84,1.78,3.65,3.5,3.9,3.64,4.0,2.1,2.09,1.8,1.79,3.0,-0.5,1.92,1.91,2.0,1.96,1215.41,1162.65
SC2,11/08/07,Brechin,Peterhead,2,2,D,2,0,H,1.72,3.6,3.75,1.75,3.6,3.7,1.8,3.5,3.5,1.75,3.4,3.5,1.83,3.5,3.4,1.8,3.75,3.5,,,,1.8,3.75,3.4,1.73,3.4,4.0,1.83,3.5,3.5,20,1.87,1.78,3.6,3.51,4.0,3.63,6.0,1.9,1.89,2.01,1.99,4.0,-0.5,1.87,1.86,2.06,2.03,1253.58,1182.78
SC2,11/08/07,Cowdenbeath,Ross County,2,2,D,0,0,D,3.25,3.5,1.9,2.7,3.5,2.15,2.75,3.5,2.1,2.6,3.2,2.2,2.62,3.5,2.2,2.88,3.5,2.1,,,,2.8,3.5,2.1,3.2,3.3,2.0,2.7,3.5,2.2,19,3.25,2.84,3.55,3.42,2.25,2.11,6.0,2.06,2.04,1.86,1.84,4.0,0.25,2.09,2.06,1.86,1.83,1191.82,1304.35
SC2,11/08/07,Raith Rvs,Berwick,3,1,H,1,1,D,1.57,3.6,4.5,1.6,3.75,4.4,1.55,3.75,4.6,1.6,3.5,4.2,1.61,3.5,4.5,1.6,3.75,4.5,,,,1.57,3.8,4.5,1.55,3.6,5.0,1.62,3.75,4.33,20,1.63,1.58,4.0,3.68,5.5,4.62,6.0,2.13,2.09,1.82,1.8,4.0,-0.75,1.85,1.94,1.97,1.93,1303.54,1202.47
SC2,18/08/07,Berwick,Airdrie Utd,2,0,H,2,0,H,3.0,3.6,1.95,2.7,3.5,2.15,2.6,3.4,2.2,2.6,3.2,2.2,2.5,3.5,2.25,2.6,3.5,2.25,,,,2.62,3.5,2.2,2.6,3.6,2.25,2.8,3.5,2.1,34,3.28,2.9,3.63,3.42,2.25,2.08,14.0,2.11,2.08,1.83,1.8,9.0,0.25,2.11,2.06,1.86,1.83,1196.49,1321.08
SC2,18/08/07,Brechin,Ayr,2,2,D,1,1,D,1.95,3.6,3.0,2.1,3.5,2.8,2.1,3.5,2.75,2.0,3.3,2.9,2.0,3.6,2.88,2.1,3.5,2.85,,,,2.1,3.5,2.8,2.0,3.6,3.0,2.1,3.5,2.8,34,2.2,2.06,3.63,3.45,3.28,2.93,14.0,2.0,1.95,1.97,1.92,9.0,-0.25,1.86,1.83,2.11,2.06,1247.89,1197.74
