Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,EloHome,EloAway
E1,07/08/09,Middlesbrough,Sheffield United,0,0,D,0,0,D,L Mason,7,9,2,6,14,20,5,5,1,0,0,0,2.25,3.25,3.2,2.0,3.15,3.4,2.05,3.25,3.4,2.0,3.1,3.2,2.25,3.25,3.25,2.0,3.25,3.4,2.15,3.2,3.5,2.1,3.4,3.4,2.1,3.25,3.25,2.2,3.2,3.4,32,2.43,2.23,3.4,3.21,3.5,3.13,29,2.47,2.14,1.67,1.64,18,0.0,1.72,1.6,2.38,2.26,1596.29,1643.88
E1,08/08/09,Cardiff,Scunthorpe,4,0,H,3,0,H,J Moss,15,6,6,4,8,15,5,3,0,1,0,0,1.67,3.6,5.25,1.65,3.45,4.65,1.65,3.5,5.0,1.6,3.4,4.6,1.67,3.5,5.5,1.65,3.4,5.0,1.62,3.3,5.0,1.67,3.25,5.0,1.62,3.5,5.5,1.67,3.5,5.0,34,1.73,1.66,3.81,3.48,5.61,5.08,30,2.02,1.93,1.92,1.81,18,0.0,1.25,1.23,4.16,3.8,1585.89,1473.15
E1,08/08/09,Crystal Palace,Plymouth,1,1,D,0,1,A,A Penn,16,7,5,3,6,11,7,5,0,2,0,0,1.91,3.3,4.2,1.8,3.35,3.95,1.85,3.3,4.0,1.85,3.2,3.5,1.91,3.25,4.33,1.9,3.25,3.75,1.83,3.2,3.75,1.8,3.2,4.33,1.91,3.25,3.75,1.91,3.3,3.8,34,1.97,1.88,3.46,3.29,4.48,3.99,30,2.2,2.09,1.75,1.67,18,0.0,1.4,1.38,2.98,2.82,1511.24,1468.32
E1,08/08/09,Derby,Peterboro,2,1,H,1,0,H,P Taylor,12,7,6,2,6,15,10,5,1,3,0,0,2.0,3.3,3.8,1.9,3.3,3.55,1.95,3.25,3.75,1.9,3.2,3.4,1.91,3.4,4.0,2.0,3.25,3.4,1.91,3.2,3.5,1.91,3.25,3.75,2.0,3.3,3.5,1.91,3.3,3.8,34,2.1,1.97,3.42,3.27,4.0,3.67,30,2.02,1.93,1.9,1.82,18,0.0,1.47,1.42,2.75,2.67,1475.22,1555.78
E1,08/08/09,Leicester,Swansea,2,1,H,0,1,A,G Hegley,15,7,9,3,15,14,7,3,2,1,0,0,2.25,3.25,3.2,2.25,3.15,2.85,2.25,3.2,3.0,2.2,3.1,2.8,2.2,3.3,3.25,2.2,3.2,3.0,2.0,3.2,3.2,2.2,3.2,3.0,2.25,3.25,2.88,2.2,3.2,3.1,34,2.3,2.21,3.31,3.22,3.53,3.1,30,2.2,2.1,1.72,1.66,18,0.0,1.62,1.56,2.46,2.32,1586.81,1573.26
E1,08/08/09,Preston,Bristol City,2,2,D,0,0,D,M Oliver,14,11,10,6,15,8,11,8,2,2,0,0,2.0,3.3,3.8,1.85,3.3,3.75,2.0,3.25,3.5,1.9,3.2,3.4,2.0,3.5,3.6,2.0,3.25,3.4,2.1,3.2,3.0,2.0,3.25,3.4,2.0,3.25,3.5,2.0,3.3,3.5,33,2.17,2.03,3.5,3.26,3.85,3.49,29,2.2,2.1,1.75,1.66,18,0.0,1.57,1.47,2.74,2.53,1595.73,1527.72
E1,08/08/09,QPR,Blackpool,1,1,D,0,1,A,A D'Urso,21,5,9,2,8,14,10,1,4,1,0,0,1.73,3.5,5.0,1.7,3.3,4.5,1.73,3.3,4.75,1.65,3.3,4.4,1.73,3.5,5.0,1.7,3.4,4.5,1.62,3.3,5.0,1.62,3.5,5.0,1.73,3.4,4.5,1.73,3.4,4.75,32,1.8,1.72,3.63,3.4,5.27,4.73,28,2.25,2.12,1.72,1.65,17,0.0,1.32,1.28,3.7,3.46,1524.37,1519.41
E1,08/08/09,Reading,Nott'm Forest,0,0,D,0,0,D,P Crossley,7,7,0,1,4,5,1,3,1,2,0,1,1.91,3.2,4.5,1.8,3.25,4.0,1.85,3.3,4.0,1.9,3.2,3.4,1.91,3.4,4.0,1.85,3.25,4.0,1.95,3.25,3.3,1.83,3.25,4.0,1.91,3.25,3.75,1.91,3.3,3.8,34,1.95,1.87,3.54,3.31,4.5,4.02,30,2.21,2.08,1.75,1.69,18,0.0,1.4,1.36,3.2,2.95,1604.37,1528.85
E1,08/08/09,Sheffield Weds,Barnsley,2,2,D,2,0,H,A Taylor,11,10,8,7,17,11,5,3,0,2,0,0,1.91,3.3,4.2,1.85,3.3,3.75,1.9,3.3,3.8,1.8,3.2,3.7,2.0,3.4,3.75,1.9,3.25,3.75,1.8,3.25,3.8,1.83,3.25,4.0,1.91,3.25,3.75,1.91,3.3,3.8,34,2.0,1.92,3.44,3.28,4.35,3.83,30,2.2,2.12,1.7,1.65,18,0.0,1.44,1.39,2.98,2.79,1530.64,1493.14
E1,08/08/09,Watford,Doncaster,1,1,D,1,1,D,N Swarbrick,9,3,4,2,10,17,1,4,0,0,0,0,2.1,3.4,3.4,1.9,3.25,3.6,2.0,3.25,3.5,1.9,3.2,3.4,2.1,3.4,3.4,2.0,3.25,3.4,2.0,3.2,3.2,1.91,3.25,3.75,2.1,3.25,3.25,2.0,3.3,3.5,34,2.18,2.03,3.42,3.25,3.8,3.49,30,2.09,1.99,1.83,1.76,18,0.0,1.51,1.47,2.63,2.51,1528.97,1518.1
