Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,Unnamed: 58,Unnamed: 59,Unnamed: 60,EloHome,EloAway
I2,21/08/09,Albinoleffe,Vicenza,2,2,D,1,1,D,2.2,2.9,3.75,2.1,2.85,3.5,2.15,2.85,3.5,2.2,2.9,3.0,2.2,2.8,3.2,2.2,2.85,3.25,2.2,2.8,3.2,2.1,2.88,3.6,2.1,2.8,3.6,2.2,2.8,3.2,24.0,2.3,2.18,3.07,2.85,3.85,3.41,20.0,2.35,2.19,1.68,1.62,10.0,-0.25,1.93,1.9,2.0,1.95,,,,1508.02,1454.46
I2,21/08/09,Ascoli,Gallipoli,1,1,D,0,1,A,1.29,4.75,12.0,1.3,4.1,10.0,1.28,4.5,10.0,1.3,4.2,8.0,1.29,4.0,10.0,1.25,4.5,11.0,1.29,4.0,10.0,1.3,4.33,10.0,1.25,4.5,11.0,1.33,4.0,8.0,22.0,1.35,1.28,5.13,4.48,13.0,10.39,16.0,2.01,1.94,1.9,1.81,8.0,-1.5,2.06,2.02,1.86,1.83,,,,1484.54,1480.0
I2,21/08/09,Brescia,Cittadella,1,0,H,1,0,H,1.62,3.6,6.0,1.55,3.45,5.95,1.62,3.4,5.25,1.6,3.2,5.0,1.53,3.25,6.0,1.65,3.2,5.2,1.67,3.2,4.8,1.57,3.4,6.0,1.6,3.2,5.5,1.62,3.2,5.25,24.0,1.77,1.63,3.45,3.28,6.0,5.49,20.0,2.2,2.06,1.8,1.71,9.0,-0.75,2.0,1.97,2.03,1.89,,,,1567.66,1493.12
I2,21/08/09,Empoli,Piacenza,2,0,H,1,0,H,1.67,3.5,5.5,1.6,3.25,5.5,1.7,3.1,5.25,1.7,3.1,4.4,1.67,3.1,5.0,1.65,3.2,5.25,1.67,3.2,4.8,1.67,3.33,5.0,1.6,3.2,5.5,1.7,3.1,4.75,23.0,1.7,1.64,3.6,3.26,6.0,5.32,18.0,2.25,2.14,1.7,1.64,8.0,-0.75,1.95,1.84,2.06,2.02,,,,1580.64,1503.46
I2,21/08/09,Grosseto,Torino,0,3,A,0,1,A,3.3,2.9,2.4,3.0,2.9,2.3,3.25,2.85,2.25,2.8,2.9,2.3,2.88,2.8,2.38,3.1,2.85,2.3,2.88,2.8,2.4,3.2,2.88,2.3,3.1,2.8,2.3,2.88,2.8,2.38,23.0,3.47,3.09,3.02,2.86,2.5,2.34,19.0,2.3,2.15,1.72,1.66,9.0,0.0,2.3,2.18,1.7,1.65,,,,1526.73,1573.25
I2,21/08/09,Lecce,Ancona,3,0,H,2,0,H,1.55,3.6,7.0,1.45,3.6,7.0,1.53,3.4,6.5,1.5,3.4,5.6,1.44,3.5,7.0,1.5,3.4,6.5,1.5,3.4,6.0,1.44,3.8,7.0,1.5,3.4,6.5,1.5,3.4,6.0,22.0,1.6,1.51,3.8,3.51,7.0,6.45,18.0,2.1,1.98,1.88,1.77,9.0,-1.0,2.0,1.93,1.97,1.92,,,,1566.42,1447.95
I2,21/08/09,Mantova,Triestina,0,0,D,0,0,D,2.05,3.0,4.0,1.95,2.9,3.9,2.0,2.9,3.9,2.1,2.8,3.3,1.83,3.0,4.0,2.0,2.9,3.75,2.0,2.9,3.6,2.1,2.8,3.8,2.0,2.8,4.0,1.83,3.0,4.0,24.0,2.22,2.0,3.1,2.95,4.13,3.8,20.0,2.35,2.19,1.68,1.63,10.0,-0.5,2.2,2.16,1.8,1.74,,,,1500.72,1478.49
I2,21/08/09,Padova,Modena,1,0,H,0,0,D,2.25,3.0,3.5,2.2,2.9,3.2,2.2,2.85,3.4,2.1,2.8,3.3,2.25,2.88,3.0,2.2,2.9,3.2,2.15,2.8,3.3,2.2,2.8,3.5,2.1,2.8,3.5,2.25,2.8,3.1,24.0,2.25,2.15,3.12,2.88,4.11,3.45,20.0,2.3,2.17,1.68,1.63,10.0,-0.25,1.88,1.82,2.05,2.04,,,,1480.0,1512.83
I2,21/08/09,Salernitana,Frosinone,1,2,A,0,2,A,2.1,2.88,4.0,1.95,3.05,3.7,2.0,2.9,3.9,2.0,2.9,3.4,1.91,3.0,3.75,2.0,3.0,3.6,2.0,2.9,3.6,1.91,2.9,4.33,2.0,3.0,3.5,1.91,2.88,4.0,24.0,2.14,2.01,3.12,2.99,4.33,3.71,20.0,2.35,2.2,1.71,1.63,10.0,-0.5,2.13,2.09,1.81,1.78,,,,1479.06,1499.62
I2,21/08/09,Sassuolo,Crotone,2,0,H,1,0,H,1.7,3.4,5.5,1.68,3.15,5.0,1.75,3.1,4.75,1.65,3.1,4.8,1.67,3.1,5.0,1.65,3.25,5.0,1.7,3.1,4.6,1.67,3.2,5.5,1.67,3.3,5.0,1.7,3.1,4.75,23.0,1.7,1.62,3.5,3.29,6.25,5.34,19.0,2.19,2.07,1.72,1.68,9.0,-0.75,1.92,1.81,2.09,2.05,,,,1492.99,1480.0
