Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,Unnamed: 58,Unnamed: 59,Unnamed: 60,EloHome,EloAway
SC3,08/08/09,Berwick,Annan Athletic,2,1,H,1,1,D,2.8,3.6,2.3,2.5,3.5,2.3,2.6,3.5,2.25,2.7,3.2,2.2,2.75,3.5,2.38,2.6,3.5,2.25,2.5,3.6,2.25,2.6,3.5,2.25,2.6,3.5,2.3,2.75,3.4,2.25,15.0,2.8,2.62,3.6,3.5,2.3,2.26,4.0,1.8,1.75,2.0,1.95,2.0,0.0,1.95,1.95,1.75,1.75,,,,881.97,1003.47
SC3,08/08/09,Montrose,Elgin,1,1,D,0,0,D,1.57,4.2,5.25,1.55,3.75,4.8,1.53,4.0,4.75,1.5,3.8,4.8,1.57,4.33,5.0,1.53,4.0,4.6,1.5,4.0,4.8,1.53,4.0,4.6,1.6,3.75,4.5,1.57,3.75,5.0,14.0,1.57,1.54,4.2,3.96,5.25,4.8,3.0,1.73,1.73,2.08,2.08,2.0,-1.0,1.95,1.95,1.9,1.9,,,,976.38,829.39
SC3,08/08/09,Queens Park,Forfar,2,2,D,1,1,D,3.0,3.6,2.2,2.65,3.55,2.15,2.8,3.5,2.1,2.9,3.2,2.1,3.0,3.6,2.2,2.75,3.5,2.15,3.0,3.6,1.95,2.7,3.5,2.2,3.0,3.6,2.0,2.1,3.4,3.0,14.0,3.0,2.8,3.6,3.54,2.2,2.13,3.0,1.9,1.9,1.9,1.9,2.0,0.0,2.3,2.3,1.53,1.53,,,,1047.72,944.24
SC3,08/08/09,Stranraer,Albion Rvs,1,1,D,1,0,H,2.0,3.75,3.3,1.95,3.5,3.0,1.95,3.6,3.1,1.9,3.3,3.3,2.1,3.6,3.25,1.95,3.6,3.0,2.0,3.6,2.88,1.91,3.6,3.25,2.0,3.5,3.1,2.75,3.5,2.2,15.0,2.2,2.04,3.6,3.5,3.4,3.0,4.0,1.8,1.77,2.0,1.93,2.0,0.0,1.57,1.57,2.25,2.25,,,,936.74,850.02
SC3,15/08/09,Albion Rvs,Berwick,2,1,H,1,1,D,2.1,3.6,3.25,1.9,3.5,3.25,1.95,3.6,3.1,2.0,3.3,3.0,2.1,3.5,2.75,1.91,3.6,3.1,2.0,3.6,2.88,1.91,3.6,3.2,2.0,3.4,3.25,1.91,3.6,3.25,25.0,2.1,1.96,3.75,3.54,3.5,3.21,9.0,2.05,1.94,1.86,1.81,8.0,-0.5,2.11,2.07,1.85,1.81,,,,856.16,895.24
SC3,15/08/09,Annan Athletic,East Stirling,0,1,A,0,0,D,2.6,3.6,2.5,2.5,3.5,2.3,2.5,3.5,2.35,2.5,3.2,2.3,2.38,3.5,2.38,2.5,3.5,2.3,2.25,3.5,2.5,2.5,3.5,2.3,2.5,3.4,2.4,2.5,3.4,2.5,24.0,2.62,2.52,3.75,3.46,2.62,2.39,8.0,1.96,1.85,1.96,1.87,7.0,0.0,1.96,1.89,1.96,1.86,,,,990.2,969.15
SC3,15/08/09,Elgin,Queens Park,0,1,A,0,1,A,2.7,3.6,2.38,2.35,3.5,2.45,2.45,3.5,2.4,2.4,3.2,2.4,2.62,3.5,2.2,2.38,3.5,2.38,2.5,3.5,2.25,2.4,3.5,2.4,2.4,3.5,2.4,2.75,3.4,2.25,21.0,2.78,2.53,3.75,3.46,2.52,2.38,6.0,2.06,2.0,1.86,1.81,7.0,0.0,2.0,1.93,1.85,1.76,,,,837.03,1041.14
SC3,15/08/09,Forfar,Stranraer,1,0,H,1,0,H,1.67,4.0,4.75,1.65,3.6,4.2,1.65,3.75,4.2,1.65,3.4,4.2,1.62,4.0,4.0,1.67,3.8,3.8,1.53,3.75,4.8,1.62,3.75,4.33,1.67,3.6,4.5,1.67,3.75,4.2,23.0,1.73,1.65,4.33,3.76,4.85,4.3,7.0,1.8,1.74,2.0,1.97,7.0,0.0,1.3,1.25,3.6,3.22,,,,950.82,930.6
SC3,15/08/09,Livingston,Montrose,2,0,H,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1233.11,968.74
SC3,22/08/09,Berwick,Livingston,1,0,H,0,0,D,4.0,3.6,1.7,4.5,3.4,1.65,,,,,,,4.0,3.6,1.67,4.2,3.6,1.65,4.2,3.75,1.62,4.0,3.75,1.67,,,,3.75,3.6,1.73,,,,,,,,,,,,,,,,,,,,,,884.91,1235.84
