Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,EloHome,EloAway
F1,07/08/10,Auxerre,Lorient,2,2,D,1,1,D,11,10,6,2,14,9,3,3,3,3,0,0,1.91,3.3,4.2,1.85,3.1,4.6,1.85,3.2,4.25,1.8,3.2,4.3,1.8,3.2,4.0,1.9,3.2,3.8,1.8,3.2,4.5,1.83,3.25,4.2,1.85,3.12,4.2,1.83,3.25,4.2,28,1.93,1.85,3.4,3.24,4.85,4.33,19,2.6,2.44,1.55,1.51,13,-0.5,1.9,1.83,2.03,1.94,1846.63,1749.49
F1,07/08/10,Lens,Nancy,1,2,A,0,1,A,17,19,6,6,17,18,2,4,3,1,0,1,2.1,3.1,3.8,2.05,3.1,3.7,2.05,3.0,3.75,2.1,3.1,3.3,2.0,3.0,3.5,2.05,3.0,3.6,2.0,3.1,3.75,2.0,3.1,3.75,1.95,3.0,3.8,2.05,3.1,3.6,28,2.11,2.03,3.25,3.11,4.08,3.75,18,2.58,2.35,1.6,1.54,11,0.0,1.5,1.42,2.85,2.67,1699.68,1688.53
F1,07/08/10,Lyon,Monaco,0,0,D,0,0,D,16,9,5,4,14,24,3,5,2,3,0,0,1.44,4.0,8.0,1.4,4.1,8.25,1.4,4.0,8.0,1.45,3.7,7.0,1.4,3.75,7.0,1.4,4.0,7.5,1.4,4.0,8.0,1.4,4.0,8.0,1.36,4.2,8.0,1.4,4.0,8.0,28,1.45,1.41,4.37,4.1,9.94,8.08,26,2.16,2.06,1.8,1.72,12,-1.25,2.09,2.01,1.84,1.79,1880.47,1729.35
F1,07/08/10,Marseille,Caen,1,2,A,0,0,D,16,12,3,2,16,23,6,3,2,3,0,0,1.25,5.5,12.0,1.25,5.8,9.0,1.2,6.0,12.0,1.25,5.0,10.0,1.2,5.0,11.0,1.2,5.75,11.0,1.2,6.0,11.0,1.2,6.0,12.0,1.22,5.5,11.0,1.22,5.5,11.0,28,1.31,1.24,6.0,5.43,14.0,11.0,23,1.84,1.75,2.12,2.0,9,-1.75,2.21,2.18,1.76,1.74,1913.28,1664.42
F1,07/08/10,Nice,Valenciennes,0,0,D,0,0,D,10,11,2,1,11,20,4,6,0,3,0,0,2.1,3.1,3.75,2.05,3.2,3.6,2.0,3.1,3.75,2.1,3.1,3.3,2.0,3.0,3.4,2.0,3.1,3.6,2.1,3.1,3.4,2.0,3.1,3.75,2.0,3.0,3.75,2.05,3.1,3.6,28,2.17,2.07,3.21,3.1,3.98,3.67,20,2.32,2.24,1.67,1.59,11,0.0,1.5,1.44,2.75,2.58,1685.67,1714.35
F1,07/08/10,Paris SG,St Etienne,3,1,H,2,1,H,19,14,6,5,11,12,6,7,2,1,0,0,1.73,3.4,5.25,1.65,3.45,5.35,1.67,3.3,5.25,1.65,3.4,4.8,1.62,3.3,5.0,1.6,3.4,5.5,1.57,3.5,6.0,1.67,3.5,5.0,1.67,3.2,5.5,1.67,3.4,5.0,27,1.75,1.68,3.56,3.42,6.25,5.26,19,2.33,2.2,1.66,1.61,12,-0.75,1.96,1.89,1.97,1.9,1694.36,1669.35
F1,07/08/10,Rennes,Lille,1,1,D,1,0,H,20,14,5,5,23,21,6,3,3,3,0,0,2.4,3.1,3.1,2.35,3.2,2.9,2.3,3.1,3.0,2.5,3.0,2.7,2.38,3.0,2.75,2.4,3.1,2.75,2.5,3.0,2.75,2.4,3.0,3.0,2.38,3.0,2.88,2.5,3.1,2.75,28,2.59,2.44,3.18,3.06,3.1,2.93,20,2.25,2.16,1.71,1.64,16,0.0,1.8,1.71,2.16,2.07,1737.77,1846.66
F1,07/08/10,Sochaux,Arles,2,1,H,1,1,D,14,10,6,1,16,19,10,3,2,4,0,0,1.8,3.25,5.0,1.7,3.35,5.15,1.65,3.4,5.25,1.7,3.4,4.5,1.62,3.3,5.0,1.6,3.4,5.5,1.67,3.4,5.0,1.67,3.25,5.5,1.73,3.25,4.75,1.67,3.4,5.0,28,1.82,1.73,3.46,3.34,5.6,4.96,19,2.54,2.38,1.55,1.53,12,-0.75,2.06,1.98,1.88,1.81,1640.35,1617.55
F1,07/08/10,Toulouse,Brest,2,0,H,1,0,H,9,9,4,1,21,18,2,3,3,2,0,0,1.62,3.5,6.0,1.65,3.4,5.55,1.57,3.5,6.0,1.6,3.6,5.0,1.57,3.3,5.5,1.6,3.4,5.5,1.55,3.5,6.0,1.57,3.25,6.0,1.62,3.4,5.5,1.62,3.5,5.5,28,1.71,1.64,3.61,3.47,6.0,5.55,19,2.54,2.41,1.6,1.52,12,-0.75,1.93,1.86,2.0,1.93,1713.79,1618.25
F1,08/08/10,Montpellier,Bordeaux,1,0,H,0,0,D,9,8,3,1,22,13,5,1,5,2,0,0,3.2,3.0,2.4,2.9,3.1,2.4,3.0,3.0,2.4,2.7,3.0,2.5,2.75,2.9,2.4,2.88,3.0,2.38,2.75,3.0,2.5,3.0,3.0,2.4,3.0,3.0,2.3,2.75,3.1,2.5,27,3.31,2.98,3.17,3.04,2.5,2.42,19,2.5,2.32,1.6,1.55,18,0.0,2.25,2.14,1.75,1.69,1784.62,1803.58
F1,14/08/10,Arles,Lens,0,1,A,0,0,D,11,10,3,4,13,17,4,4,1,0,0,0,3.0,3.0,2.5,2.85,3.0,2.5,3.0,3.0,2.4,2.65,3.1,2.5,2.8,2.88,2.38,2.85,3.0,2.4,3.0,3.0,2.5,2.88,3.0,2.5,2.75,3.0,2.5,3.0,3.1,2.3,35,3.15,2.91,3.15,3.02,2.76,2.49,25,2.59,2.45,1.55,1.5,24,0.0,2.1,2.0,1.89,1.78,1609.29,1683.31
F1,15/08/10,Bordeaux,Toulouse,1,2,A,0,1,A,10,6,3,3,17,22,4,1,2,4,0,0,1.6,3.6,6.25,1.55,3.7,6.0,1.6,3.5,5.75,1.65,3.4,4.8,1.53,3.5,5.5,1.53,3.6,6.0,1.57,3.6,6.5,1.62,3.5,5.5,1.62,3.4,5.5,1.6,3.5,5.5,36,1.69,1.61,3.81,3.53,6.5,5.85,26,2.3,2.2,1.7,1.61,14,0.0,1.27,1.19,5.0,4.27,1793.94,1719.91
F1,14/08/10,Brest,Auxerre,1,1,D,1,0,H,11,12,3,4,29,16,8,7,2,3,0,0,3.1,2.9,2.5,3.1,3.1,2.3,2.9,3.0,2.45,2.6,3.0,2.6,2.8,2.88,2.38,2.85,3.0,2.4,2.9,3.0,2.6,2.88,3.0,2.5,3.0,2.88,2.38,2.88,3.1,2.38,35,3.22,2.92,3.12,3.02,2.65,2.47,24,2.63,2.45,1.55,1.5,23,0.0,2.22,2.06,1.8,1.73,1612.13,1840.21
F1,15/08/10,Caen,Lyon,3,2,H,2,2,D,12,16,7,2,16,17,4,2,2,1,0,1,4.33,3.25,1.91,4.25,3.3,1.85,4.25,3.2,1.85,3.9,3.3,1.85,4.0,3.2,1.8,4.2,3.25,1.8,4.33,3.2,1.91,4.0,3.25,1.91,4.2,3.1,1.85,4.2,3.25,1.83,36,4.65,4.21,3.5,3.23,2.01,1.89,26,2.38,2.24,1.65,1.59,15,0.0,3.3,2.93,1.4,1.35,1686.46,1872.74
F1,15/08/10,Lille,Paris SG,0,0,D,0,0,D,11,10,1,4,16,14,5,1,1,4,0,0,2.05,3.2,3.75,2.05,3.2,3.6,2.0,3.2,3.6,2.1,3.1,3.3,1.91,3.2,3.5,2.0,3.15,3.5,2.0,3.3,3.8,2.0,3.2,3.75,1.91,3.1,4.0,2.0,3.1,3.75,34,2.1,1.97,3.38,3.2,4.36,3.86,25,2.23,2.11,1.72,1.66,15,0.0,1.5,1.41,2.88,2.7,1846.34,1702.55
F1,14/08/10,Lorient,Nice,1,2,A,1,1,D,11,14,2,5,11,15,5,5,1,2,0,0,1.95,3.2,4.2,1.88,3.3,4.1,1.9,3.2,4.0,1.9,3.2,3.8,1.83,3.2,3.75,1.9,3.2,3.8,1.91,3.25,4.2,1.91,3.2,4.0,1.83,3.12,4.2,1.91,3.2,4.0,35,2.0,1.91,3.4,3.23,4.55,4.11,25,2.35,2.25,1.66,1.58,14,-0.5,1.95,1.9,2.01,1.96,1755.91,1683.14
F1,14/08/10,Nancy,Rennes,0,3,A,0,0,D,9,15,2,6,13,13,5,2,0,0,1,0,2.6,3.0,2.88,2.5,3.1,2.8,2.55,3.0,2.8,2.4,3.1,2.8,2.4,2.9,2.75,2.5,3.0,2.75,2.7,2.9,2.88,2.5,3.0,2.88,2.5,3.0,2.75,2.5,3.0,2.8,35,2.69,2.57,3.1,3.02,3.09,2.81,25,2.38,2.26,1.66,1.58,25,0.0,1.86,1.8,2.13,1.99,1704.9,1738.09
F1,14/08/10,St Etienne,Sochaux,3,2,H,1,0,H,17,16,7,6,20,14,7,10,2,1,0,0,2.0,3.1,4.2,1.95,3.1,4.1,1.95,3.1,4.0,2.0,3.2,3.4,1.91,3.0,3.75,1.95,3.1,3.75,1.91,3.1,4.5,2.0,3.2,3.75,1.91,3.0,4.0,2.0,3.2,3.6,36,2.05,1.95,3.36,3.17,4.54,4.01,25,2.5,2.33,1.58,1.55,14,0.0,1.45,1.39,3.05,2.79,1661.16,1648.61
F1,14/08/10,Valenciennes,Marseille,3,2,H,0,0,D,13,14,6,3,20,10,2,6,3,4,0,0,3.75,3.25,2.05,3.8,3.2,1.95,3.75,3.2,1.95,3.7,3.3,1.9,3.75,3.2,1.83,4.0,3.2,1.85,3.6,3.3,2.05,3.75,3.2,2.0,3.75,3.0,2.0,3.8,3.25,1.91,35,4.1,3.77,3.3,3.18,2.23,2.01,27,2.3,2.16,1.7,1.64,14,0.0,2.95,2.68,1.48,1.41,1716.88,1891.24
F1,17/08/10,Monaco,Montpellier,0,0,D,0,0,D,10,19,2,4,17,12,1,1,1,3,0,0,2.25,3.1,3.3,2.2,3.1,3.3,2.1,3.1,3.4,2.1,3.1,3.3,2.0,3.0,3.5,2.1,3.1,3.3,2.2,3.0,3.25,2.2,3.2,3.1,2.2,2.88,3.3,2.2,3.1,3.2,37,2.31,2.19,3.2,3.07,3.74,3.38,25,2.64,2.42,1.57,1.51,19,0.0,1.61,1.52,2.58,2.41,1737.08,1794.26
