Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,Unnamed: 58,Unnamed: 59,Unnamed: 60,EloHome,EloAway
N1,05/08/11,Excelsior,Feyenoord,0,2,A,0,0,D,3.4,3.4,2.1,3.4,3.5,1.91,3.4,3.25,2.0,3.5,3.1,1.9,4.0,3.4,1.73,3.6,3.5,1.85,3.75,3.5,1.83,3.4,3.5,2.05,3.75,3.5,1.95,3.75,3.5,1.91,34,4.65,4.12,3.83,3.53,1.89,1.81,29,1.81,1.73,2.2,2.07,17,0.5,2.14,2.03,1.9,1.83,,,,1516.98,1640.26
N1,06/08/11,Heerenveen,Nijmegen,2,2,D,0,0,D,1.73,3.75,4.5,1.65,3.65,4.3,1.65,3.75,4.5,1.65,3.3,4.4,1.67,3.4,4.33,1.67,3.6,4.5,1.62,3.75,4.8,1.67,3.75,5.0,1.67,4.0,4.75,1.67,3.75,4.75,34,1.75,1.68,4.07,3.72,5.0,4.54,20,1.62,1.57,2.32,2.24,18,-0.75,1.96,1.91,1.99,1.94,,,,1563.17,1587.92
N1,06/08/11,Roda,Groningen,2,1,H,0,1,A,2.2,3.5,3.1,2.15,3.35,2.95,2.1,3.25,3.2,2.1,3.1,3.0,2.0,3.2,3.2,2.1,3.3,3.1,2.1,3.3,3.2,2.2,3.4,3.2,2.1,3.5,3.2,2.2,3.4,3.0,34,2.2,2.12,3.65,3.34,3.5,3.19,20,1.67,1.57,2.3,2.24,18,-0.25,1.91,1.86,2.04,2.0,,,,1618.54,1659.45
N1,06/08/11,VVV Venlo,Utrecht,0,0,D,0,0,D,2.88,3.4,2.38,2.6,3.3,2.4,3.0,3.25,2.2,3.0,3.1,2.1,2.7,3.3,2.2,2.85,3.3,2.25,3.1,3.4,2.1,3.0,3.5,2.2,3.0,3.3,2.3,2.8,3.3,2.38,34,3.0,2.85,3.45,3.28,2.47,2.33,25,1.84,1.74,2.15,2.04,16,0.25,1.83,1.8,2.14,2.07,,,,1428.49,1609.51
N1,06/08/11,Waalwijk,Heracles,2,2,D,0,1,A,3.2,3.4,2.2,3.0,3.4,2.1,3.25,3.25,2.05,2.6,3.1,2.3,3.0,3.2,2.1,3.0,3.3,2.15,3.1,3.4,2.1,3.0,3.5,2.2,3.1,3.3,2.25,3.0,3.4,2.2,34,3.4,3.09,3.52,3.33,2.27,2.16,25,1.72,1.68,2.25,2.12,18,0.25,1.98,1.93,1.98,1.93,,,,1440.93,1643.73
N1,07/08/11,AZ Alkmaar,PSV Eindhoven,3,1,H,2,1,H,2.75,3.3,2.5,2.6,3.6,2.3,2.6,3.25,2.45,2.6,3.1,2.3,2.5,3.3,2.38,2.55,3.3,2.45,2.7,3.2,2.3,3.0,3.5,2.2,2.62,3.3,2.6,2.75,3.3,2.4,33,2.85,2.68,3.6,3.28,2.6,2.45,23,1.83,1.74,2.15,2.05,18,0.0,2.06,2.01,1.88,1.82,,,,1726.94,1802.69
N1,07/08/11,Den Haag,Vitesse,0,0,D,0,0,D,2.0,3.6,3.5,1.83,3.5,3.7,1.8,3.4,4.0,1.9,3.2,3.4,1.91,3.25,3.4,1.9,3.5,3.5,1.83,3.3,4.0,1.83,3.75,3.75,1.95,3.5,3.75,2.0,3.4,3.5,33,2.05,1.92,3.71,3.43,4.0,3.65,18,1.6,1.54,2.44,2.31,19,-0.5,2.02,1.96,1.96,1.89,,,,1594.51,1523.93
N1,07/08/11,Graafschap,Ajax,1,4,A,1,2,A,10.0,5.5,1.29,10.0,5.0,1.25,8.0,4.5,1.33,8.0,4.2,1.3,7.0,4.0,1.36,9.0,4.75,1.29,10.0,5.0,1.25,8.5,5.0,1.33,11.0,5.0,1.29,10.0,5.0,1.29,32,11.5,9.72,5.5,4.8,1.36,1.28,18,1.6,1.53,2.52,2.32,17,1.5,2.09,2.01,1.91,1.83,,,,1526.12,1853.74
N1,07/08/11,NAC Breda,Twente,0,1,A,0,1,A,5.0,3.8,1.67,4.4,3.6,1.67,4.5,3.5,1.7,4.4,3.3,1.65,4.0,3.4,1.73,4.75,3.5,1.65,4.8,3.75,1.62,5.0,3.6,1.67,5.4,3.8,1.62,5.0,3.6,1.67,33,6.0,5.02,4.07,3.64,1.73,1.63,23,1.85,1.76,2.09,2.01,16,0.75,2.11,2.04,1.86,1.82,,,,1561.76,1834.07
N1,13/08/11,Feyenoord,Roda,3,0,H,1,0,H,1.75,3.75,4.33,1.75,3.7,3.9,1.72,3.5,4.33,1.85,3.3,3.6,1.73,3.4,4.0,1.7,3.4,4.5,1.73,3.8,4.0,1.62,4.2,4.5,1.8,3.6,4.4,1.73,3.75,4.33,36,1.85,1.75,4.0,3.61,4.6,4.28,22,1.66,1.6,2.25,2.18,17,-0.5,1.84,1.78,2.17,2.05,,,,1651.92,1628.93
N1,13/08/11,PSV Eindhoven,Waalwijk,1,0,H,1,0,H,1.17,7.0,15.0,1.15,7.25,11.0,1.18,6.0,12.0,1.15,6.0,12.0,1.14,6.0,12.0,1.17,6.25,12.0,1.12,7.0,17.0,1.14,7.0,17.0,1.17,7.0,15.0,1.17,7.0,13.0,36,1.19,1.16,8.25,6.75,19.5,14.3,18,1.33,1.28,3.5,3.28,16,-2.0,1.84,1.8,2.14,2.08,,,,1791.06,1444.52
N1,13/08/11,Twente,AZ Alkmaar,2,0,H,1,0,H,1.75,3.6,4.75,1.8,3.4,3.95,1.75,3.5,4.1,1.85,3.3,3.6,1.73,3.4,4.0,1.75,3.6,4.0,1.73,3.8,4.0,1.8,3.75,4.0,1.75,3.5,4.75,1.73,3.6,4.5,36,1.8,1.75,3.75,3.5,5.12,4.44,29,1.86,1.79,2.06,1.97,17,-0.5,1.79,1.76,2.18,2.1,,,,1840.83,1738.57
N1,13/08/11,Vitesse,VVV Venlo,4,0,H,2,0,H,1.53,4.0,6.0,1.55,3.9,5.0,1.57,3.75,5.25,1.55,3.5,4.8,1.53,3.5,5.5,1.53,3.75,5.5,1.5,4.0,5.5,1.5,4.33,5.5,1.5,4.0,6.5,1.53,4.0,5.5,36,1.57,1.52,4.36,3.89,7.0,5.97,22,1.72,1.67,2.2,2.06,17,-1.0,1.92,1.88,2.02,1.97,,,,1529.62,1431.35
N1,14/08/11,Ajax,Heerenveen,5,1,H,2,1,H,1.22,6.0,13.0,1.22,6.0,8.75,1.22,5.75,10.0,1.25,4.5,9.0,1.2,5.5,9.0,1.2,5.6,11.0,1.2,5.5,12.0,1.18,7.0,11.0,1.22,6.0,13.0,1.22,6.0,11.0,32,1.27,1.22,6.8,5.86,13.5,10.88,16,1.35,1.31,3.5,3.12,19,-1.75,1.85,1.81,2.09,2.06,,,,1859.05,1560.5
N1,14/08/11,Groningen,Den Haag,4,2,H,3,0,H,1.67,3.75,5.0,1.55,4.1,4.75,1.62,3.75,4.75,1.7,3.4,4.2,1.73,3.4,4.0,1.62,3.8,4.5,1.67,3.8,4.33,1.62,4.33,4.5,1.67,3.8,5.0,1.62,3.8,5.0,33,1.73,1.64,4.1,3.74,5.1,4.72,18,1.51,1.48,2.63,2.44,17,-0.75,1.9,1.86,2.05,1.99,,,,1649.06,1588.82
N1,14/08/11,Heracles,NAC Breda,2,1,H,0,1,A,1.67,4.0,4.75,1.65,3.9,4.2,1.67,3.6,4.5,1.7,3.3,4.2,1.67,3.4,4.33,1.7,3.6,4.2,1.67,3.8,4.33,1.67,4.0,4.33,1.62,4.0,5.0,1.67,3.75,4.75,32,1.7,1.64,4.02,3.7,5.5,4.8,15,1.55,1.5,2.5,2.38,17,-0.75,1.87,1.82,2.09,2.03,,,,1640.14,1555.0
N1,14/08/11,Utrecht,Graafschap,2,2,D,0,1,A,1.5,4.2,6.5,1.5,4.0,5.5,1.53,3.75,5.75,1.5,3.7,5.0,1.44,3.75,6.0,1.5,3.75,6.0,1.5,4.0,5.5,1.5,4.0,6.5,1.53,3.8,6.5,1.53,4.0,6.0,36,1.58,1.52,4.2,3.84,7.0,6.01,26,1.75,1.68,2.25,2.1,19,-1.0,2.02,1.96,1.96,1.9,,,,1606.65,1520.81
N1,15/08/11,Nijmegen,Excelsior,2,0,H,0,0,D,1.44,4.33,7.0,1.44,4.0,6.5,1.45,4.0,6.5,1.5,3.7,5.0,1.44,3.75,6.0,1.5,3.75,6.0,1.4,4.0,6.5,1.44,4.33,6.5,1.44,4.5,6.5,1.44,4.2,7.0,33,1.48,1.43,4.65,4.12,8.0,6.81,18,1.6,1.53,2.38,2.31,16,-1.25,2.04,1.99,1.93,1.87,,,,1590.59,1505.32
N1,19/08/11,Roda,Waalwijk,0,2,A,0,0,D,1.5,4.0,7.0,1.48,4.4,5.75,1.5,4.0,5.75,1.5,3.7,5.0,1.4,3.75,7.0,1.45,4.1,6.0,1.4,4.33,6.5,1.53,4.2,5.75,1.5,4.33,6.0,1.5,4.0,5.5,35,1.8,1.71,3.9,3.59,5.29,4.64,20,1.57,1.5,2.53,2.41,16,-0.5,1.82,1.76,2.14,2.08,,,,1620.68,1442.74
N1,20/08/11,Excelsior,Graafschap,1,1,D,0,1,A,2.3,3.4,3.0,2.25,3.3,3.0,2.25,3.25,3.0,2.3,3.2,2.7,2.2,3.25,2.75,2.25,3.25,2.88,2.25,3.4,2.8,2.2,3.3,3.25,2.2,3.3,3.12,2.25,3.3,2.88,35,2.31,2.23,3.5,3.27,3.3,3.0,21,1.7,1.63,2.25,2.1,18,-0.25,2.02,1.96,1.95,1.9,,,,1498.92,1526.92
N1,20/08/11,Heerenveen,Twente,1,5,A,0,3,A,3.2,3.4,2.2,3.4,3.4,2.15,3.2,3.25,2.15,3.0,3.3,2.1,3.2,3.2,2.0,3.1,3.3,2.1,3.1,3.4,2.1,3.25,3.5,2.05,3.0,3.4,2.25,3.2,3.3,2.1,35,3.3,3.13,3.55,3.28,2.3,2.16,21,1.67,1.61,2.2,2.14,19,0.25,1.95,1.9,2.02,1.95,,,,1558.21,1846.78
N1,20/08/11,NAC Breda,Groningen,2,2,D,0,2,A,3.0,3.5,2.25,3.0,3.3,2.25,2.9,3.4,2.25,2.8,3.3,2.2,2.75,3.2,2.25,2.75,3.4,2.25,2.9,3.4,2.2,2.75,3.4,2.3,3.0,3.5,2.25,2.88,3.4,2.2,35,3.2,2.95,3.67,3.33,2.35,2.24,21,1.67,1.59,2.27,2.18,19,0.25,1.92,1.87,2.04,1.99,,,,1548.59,1656.17
N1,20/08/11,Vitesse,Utrecht,2,1,H,1,1,D,1.8,3.6,4.33,1.91,3.4,3.8,1.9,3.4,3.75,1.9,3.3,3.5,2.0,3.2,3.2,1.85,3.4,3.6,1.91,3.5,3.5,2.0,3.5,3.5,1.91,3.4,4.0,1.91,3.4,3.75,35,1.95,1.86,3.7,3.46,4.5,3.86,21,1.7,1.63,2.2,2.11,20,-0.5,1.94,1.89,2.01,1.95,,,,1535.67,1600.54
N1,21/08/11,AZ Alkmaar,Nijmegen,4,0,H,0,0,D,1.44,4.33,7.0,1.48,4.1,6.25,1.42,4.2,7.0,1.45,3.8,5.4,1.36,4.0,7.0,1.4,4.33,6.5,1.44,4.2,6.0,1.5,4.2,6.0,1.44,4.5,6.5,1.44,4.0,7.0,35,1.5,1.44,4.72,4.17,7.25,6.62,17,1.57,1.51,2.45,2.32,17,-1.0,1.8,1.75,2.19,2.1,,,,1732.62,1596.99
