Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA,EloHome,EloAway
F2,27/07/12,Ajaccio GFCO,Caen,0.0,0.0,D,0.0,0.0,D,2.3,3.1,3.25,2.35,3.0,3.1,2.35,3.0,3.1,2.4,3.0,2.8,2.3,3.0,3.0,2.37,3.14,3.57,2.4,3.0,2.88,2.63,3.0,2.75,2.3,3.12,3.25,2.38,3.1,2.75,32.0,2.63,2.35,3.15,3.01,3.58,3.06,20.0,2.75,2.44,1.62,1.52,15.0,-0.25,2.04,1.97,1.94,1.9,2.34,3.11,3.68,1480.0,1574.12
F2,27/07/12,Angers,Sedan,1.0,0.0,H,0.0,0.0,D,2.4,3.1,3.1,2.35,2.9,3.2,2.35,2.9,3.2,2.4,2.9,2.9,2.38,3.0,2.88,2.49,3.16,3.31,2.4,2.9,2.75,2.4,3.13,3.0,2.4,3.1,3.2,2.4,3.1,2.75,35.0,2.55,2.39,3.18,3.04,3.54,2.96,27.0,2.29,2.18,1.7,1.65,11.0,0.0,1.7,1.61,2.38,2.26,2.29,3.16,3.71,1527.03,1558.48
F2,27/07/12,Auxerre,Nimes,2.0,0.0,H,1.0,0.0,H,1.91,3.25,4.2,1.83,3.3,4.33,1.83,3.3,4.33,1.7,3.2,4.7,1.83,3.2,4.0,2.01,3.15,4.59,1.73,3.25,4.2,1.8,3.3,4.8,1.95,3.2,4.5,1.75,3.3,4.5,35.0,2.02,1.87,3.3,3.16,5.0,4.28,28.0,2.41,2.26,1.7,1.62,15.0,-0.75,2.37,2.26,1.7,1.66,2.14,3.26,4.07,1590.54,1441.9
F2,27/07/12,Chateauroux,Laval,1.0,1.0,D,0.0,0.0,D,2.2,3.2,3.4,2.2,3.1,3.3,2.2,3.1,3.3,2.1,2.9,3.4,2.2,3.0,3.25,2.31,3.2,3.64,2.1,3.1,3.1,2.2,3.13,3.4,2.25,3.1,3.5,2.2,3.1,3.1,35.0,2.31,2.17,3.2,3.06,3.66,3.32,28.0,2.33,2.2,1.7,1.64,15.0,-0.25,1.96,1.93,1.98,1.94,2.27,3.2,3.75,1450.61,1456.5
F2,27/07/12,Dijon,Guingamp,1.0,0.0,H,0.0,0.0,D,2.1,3.1,3.75,2.15,3.1,3.4,2.15,3.1,3.4,2.1,2.9,3.4,2.1,3.0,3.5,2.2,3.2,3.93,2.0,3.1,3.3,2.05,3.2,3.6,2.15,3.12,3.8,2.05,3.2,3.3,35.0,2.2,2.09,3.22,3.08,3.91,3.53,28.0,2.38,2.28,1.65,1.6,15.0,-0.25,1.87,1.82,2.09,2.05,2.2,3.15,3.99,1546.99,1521.15
F2,27/07/12,Le Havre,Arles,1.0,2.0,A,1.0,0.0,H,1.95,3.2,4.2,2.0,3.0,4.1,2.0,3.0,4.1,2.0,2.9,3.7,1.91,3.2,3.8,2.02,3.14,4.85,1.95,3.1,3.5,2.0,3.13,4.0,1.95,3.1,4.75,1.91,3.2,3.75,35.0,2.02,1.96,3.2,3.07,4.85,3.99,21.0,2.91,2.6,1.57,1.46,16.0,-0.25,1.72,1.69,2.29,2.21,2.2,3.1,4.09,1464.86,1517.22
F2,27/07/12,Nantes,Istres,1.0,1.0,D,1.0,0.0,H,1.83,3.4,4.5,1.87,3.25,4.2,1.87,3.25,4.2,1.9,3.0,4.0,1.8,3.2,4.33,1.87,3.39,5.27,1.8,3.1,4.0,1.83,3.3,4.5,1.83,3.3,5.0,1.83,3.2,4.2,35.0,1.9,1.81,3.42,3.2,5.3,4.49,23.0,2.48,2.23,1.67,1.61,15.0,-0.75,2.14,2.08,1.84,1.79,2.06,3.15,4.62,1474.14,1500.1
F2,27/07/12,Niort,Clermont,1.0,1.0,D,0.0,0.0,D,2.5,3.1,2.9,2.45,3.0,2.95,2.45,3.0,2.95,2.6,2.9,2.7,2.4,3.0,2.8,2.56,3.15,3.2,2.5,2.9,2.62,2.6,3.13,2.8,2.5,3.0,3.1,2.38,3.1,2.8,35.0,2.65,2.48,3.15,3.0,3.2,2.86,26.0,2.51,2.3,1.64,1.58,15.0,-0.25,2.2,2.15,1.79,1.75,2.68,3.05,3.13,1480.0,1521.97
F2,28/07/12,Lens,Le Mans,2.0,2.0,D,2.0,1.0,H,2.1,3.2,3.6,2.1,3.1,3.6,2.1,3.1,3.6,2.1,2.9,3.4,2.1,3.0,3.5,2.15,3.27,3.94,1.91,3.1,3.6,2.2,3.13,3.4,2.1,3.2,3.9,2.05,3.2,3.3,35.0,2.2,2.08,3.27,3.09,3.94,3.47,21.0,2.34,2.25,1.69,1.6,16.0,-0.25,1.84,1.81,2.12,2.05,2.12,3.21,4.24,1512.56,1499.14
F2,30/07/12,Monaco,Tours,4.0,0.0,H,4.0,0.0,H,1.8,3.3,4.75,1.72,3.3,5.0,1.72,3.3,5.0,1.75,3.1,4.5,1.73,3.25,4.5,1.79,3.46,5.64,1.73,3.25,4.2,1.8,3.3,5.0,1.75,3.3,5.4,1.73,3.3,4.5,34.0,1.8,1.73,3.46,3.26,5.64,4.77,19.0,2.3,2.24,1.7,1.6,15.0,-0.75,2.09,2.03,1.88,1.82,1.79,3.61,5.42,1573.52,1526.13
