Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA,EloHome,EloAway
E3,05/08/2017,Accrington,Colchester,3,1,H,2,0,H,R Joyce,12,12,5,2,12,14,6,6,1,2,0,0,2.2,3.5,3.5,2.15,3.3,3.3,2.05,3.2,3.2,2.1,3.2,3.4,2.15,3.52,3.62,2.1,3.25,3.25,2.15,3.5,3.5,39,2.25,2.13,3.52,3.31,3.62,3.34,38,2.05,1.97,1.88,1.8,15,-0.25,1.86,1.83,2.08,2.02,1.97,3.65,4.1,1262.5,1231.16
E3,05/08/2017,Carlisle,Swindon,1,2,A,0,1,A,A Haines,14,12,5,7,9,9,10,3,1,3,0,0,2.5,3.4,3.0,2.4,3.25,2.9,2.3,3.2,2.8,2.4,3.2,2.8,2.53,3.47,2.93,2.5,3.2,2.9,2.5,3.5,2.88,39,2.53,2.41,3.5,3.28,3.05,2.86,38,2.0,1.9,1.93,1.86,13,-0.25,2.18,2.11,1.8,1.77,2.06,3.82,3.6,1221.65,1209.48
E3,05/08/2017,Chesterfield,Grimsby,1,3,A,0,2,A,E Ilderton,30,11,13,6,8,9,13,4,2,0,1,1,2.15,3.5,3.6,2.05,3.4,3.5,2.05,3.2,3.2,2.15,3.2,3.2,2.21,3.5,3.47,2.2,3.3,3.3,2.25,3.5,3.3,40,2.25,2.14,3.55,3.34,3.6,3.32,39,2.03,1.95,1.91,1.82,14,-0.5,2.21,2.16,1.76,1.73,2.81,3.17,2.82,1166.61,1210.54
E3,05/08/2017,Coventry,Notts County,3,0,H,1,0,H,A Backhouse,11,8,4,1,13,12,9,2,0,1,0,0,2.2,3.5,3.5,2.1,3.3,3.4,2.05,3.25,3.2,2.15,3.25,3.2,2.2,3.55,3.46,2.25,3.2,3.3,2.2,3.5,3.3,39,2.25,2.16,3.55,3.31,3.5,3.28,38,1.97,1.89,1.97,1.88,16,-0.25,1.93,1.87,2.02,1.97,2.27,3.43,3.42,1203.99,1170.85
E3,05/08/2017,Crawley Town,Port Vale,1,3,A,0,2,A,C Breakspear,16,8,5,3,12,15,7,2,2,3,0,0,3.1,3.6,2.38,3.0,3.3,2.3,2.85,3.1,2.3,2.9,3.1,2.35,3.21,3.37,2.4,2.8,3.1,2.45,3.0,3.6,2.38,40,3.21,2.96,3.6,3.24,2.45,2.37,39,2.15,2.03,1.83,1.75,16,0.25,1.87,1.81,2.08,2.04,2.9,3.43,2.57,1102.33,1228.08
E3,05/08/2017,Crewe,Mansfield,2,2,D,1,0,H,G Salisbury,9,17,8,6,14,13,7,6,4,5,0,0,3.25,3.4,2.38,3.1,3.3,2.25,3.0,3.1,2.2,3.1,3.1,2.25,3.29,3.4,2.34,3.2,3.2,2.3,3.1,3.4,2.3,40,3.29,3.14,3.4,3.22,2.38,2.28,39,2.2,2.1,1.78,1.7,16,0.25,1.94,1.88,2.01,1.97,3.92,3.48,2.07,1150.77,1222.47
E3,05/08/2017,Exeter,Cambridge,1,0,H,1,0,H,T Kettle,11,13,3,7,10,16,4,6,0,1,0,0,2.2,3.4,3.6,2.1,3.3,3.4,2.1,3.15,3.2,2.15,3.1,3.25,2.22,3.45,3.52,2.1,3.3,3.6,2.25,3.4,3.4,40,2.25,2.15,3.45,3.28,3.6,3.33,39,2.13,2.03,1.84,1.75,13,-0.25,1.95,1.88,2.01,1.95,2.39,3.4,3.2,1239.88,1220.24
E3,05/08/2017,Forest Green,Barnet,2,2,D,2,0,H,D Drysdale,11,12,4,5,5,16,2,4,0,0,0,1,2.15,3.6,3.6,2.1,3.25,3.5,2.1,3.2,3.15,2.15,3.25,3.2,2.21,3.5,3.48,2.2,3.3,3.3,2.25,3.6,3.2,40,2.25,2.15,3.6,3.33,3.6,3.3,39,1.99,1.9,1.97,1.86,13,-0.5,2.25,2.18,1.75,1.72,2.36,3.25,3.4,1298.83,1167.93
E3,05/08/2017,Luton,Yeovil,8,2,H,5,1,H,G Ward,20,8,13,6,15,11,4,6,3,3,0,0,1.65,4.1,5.75,1.6,3.75,5.75,1.55,3.6,5.0,1.6,3.7,5.5,1.64,4.01,6.01,1.62,3.8,5.5,1.62,4.1,5.5,40,1.67,1.61,4.1,3.78,6.01,5.42,39,2.01,1.93,1.93,1.84,15,-0.75,1.83,1.78,2.13,2.07,1.62,4.05,6.17,1289.58,1140.99
E3,05/08/2017,Morecambe,Cheltenham,2,1,H,0,1,A,A Coggins,10,12,6,5,14,8,4,7,3,1,0,0,3.0,3.4,2.5,2.75,3.3,2.5,2.7,3.15,2.35,2.8,3.2,2.4,2.96,3.44,2.52,2.9,3.2,2.5,2.9,3.4,2.5,39,3.0,2.83,3.44,3.25,2.58,2.45,38,2.04,1.95,1.93,1.82,16,0.0,2.14,2.08,1.85,1.79,2.94,3.53,2.49,1105.9,1182.32
