Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,EloHome,EloAway
E3,05/08/2023,15:00,Accrington,Newport County,3,0,H,1,0,H,M Woods,16,17,8,2,11,13,7,4,2,0,0,0,2.4,3.4,2.88,2.35,3.3,2.87,2.45,3.15,2.8,2.49,3.27,3.07,2.3,3.1,2.75,2.5,3.2,2.88,2.5,3.4,3.07,2.45,3.23,2.88,2.1,1.7,2.12,1.77,2.12,1.77,2.07,1.72,0.0,1.8,2.05,1.75,2.17,1.8,2.17,1.75,2.05,2.3,3.5,2.9,2.4,3.25,2.85,2.4,3.1,2.85,2.42,3.3,3.16,2.3,3.1,2.75,2.4,3.25,3.0,2.5,3.5,3.16,2.41,3.25,2.93,2.05,1.75,2.12,1.77,2.13,1.83,2.03,1.74,-0.25,2.0,1.8,2.07,1.83,2.12,1.83,2.05,1.75,1227.22,1217.52
E3,05/08/2023,15:00,Crawley Town,Bradford,1,0,H,1,0,H,T Parsons,21,14,3,7,14,14,2,4,6,3,0,1,3.75,3.6,1.95,3.6,3.4,1.98,3.55,3.3,1.97,4.1,3.5,1.98,3.6,3.2,1.85,3.9,3.4,1.95,4.1,3.6,2.04,3.79,3.45,1.94,2.05,1.75,2.06,1.82,2.1,1.82,2.02,1.75,0.5,1.9,1.95,1.91,1.98,1.91,1.98,1.84,1.93,3.75,3.75,1.95,3.6,3.4,1.98,3.6,3.3,1.95,4.0,3.56,1.98,3.6,3.2,1.85,3.8,3.6,1.93,4.1,3.76,2.05,3.79,3.48,1.94,2.03,1.83,2.06,1.83,2.13,1.85,2.0,1.77,0.5,1.9,1.95,1.91,1.98,1.94,1.99,1.86,1.92,1142.73,1273.5
E3,05/08/2023,15:00,Crewe,Mansfield,2,2,D,1,2,A,B Atkinson,13,21,3,9,8,16,10,5,2,4,0,1,3.75,3.75,1.91,3.75,3.5,1.9,3.65,3.45,1.9,4.15,3.75,1.87,3.7,3.3,1.8,4.0,3.5,1.91,4.15,3.77,1.95,3.91,3.6,1.87,1.93,1.93,1.9,1.97,1.94,1.97,1.87,1.89,0.5,1.98,1.88,2.01,1.88,2.01,1.96,1.92,1.84,4.0,3.8,1.83,3.9,3.6,1.85,3.8,3.55,1.9,4.2,3.77,1.88,3.7,3.3,1.8,4.1,3.75,1.83,4.33,3.85,1.9,4.03,3.66,1.83,1.88,1.98,1.89,1.98,1.91,2.02,1.83,1.94,0.5,2.0,1.85,2.01,1.88,2.06,1.89,1.96,1.82,1195.57,1280.83
E3,05/08/2023,15:00,Doncaster,Harrogate,0,1,A,0,0,D,S Tallis,12,7,3,6,7,20,6,5,1,4,0,0,2.25,3.25,3.3,2.15,3.4,3.2,2.15,3.2,3.2,2.26,3.42,3.35,2.0,3.2,3.2,2.2,3.4,3.2,2.26,3.42,3.5,2.17,3.35,3.28,2.05,1.8,2.04,1.83,2.05,1.91,1.99,1.78,-0.25,1.93,1.93,1.94,1.94,1.94,1.97,1.87,1.91,2.38,3.25,3.1,2.3,3.25,2.95,2.35,3.1,2.85,2.39,3.38,3.13,2.15,3.1,3.0,2.38,3.3,3.0,2.4,3.4,3.13,2.33,3.27,3.01,2.03,1.83,2.07,1.8,2.07,1.84,1.99,1.78,-0.25,2.03,1.83,2.05,1.85,2.08,1.88,1.99,1.8,1126.93,1183.25
E3,05/08/2023,15:00,Forest Green,Salford,0,2,A,0,0,D,D Middleton,19,7,4,3,17,9,10,4,3,3,0,0,3.5,3.4,2.1,3.2,3.4,2.1,3.2,3.25,2.1,3.55,3.53,2.13,3.2,3.2,2.0,3.3,3.4,2.15,3.59,3.6,2.2,3.35,3.43,2.09,1.9,1.95,1.89,1.98,1.94,1.98,1.86,1.9,0.25,2.0,1.85,2.06,1.84,2.06,1.94,1.96,1.81,3.0,3.3,2.38,2.9,3.3,2.3,2.85,3.2,2.3,3.09,3.47,2.37,2.75,3.25,2.2,2.8,3.5,2.38,3.3,3.5,2.4,2.94,3.36,2.32,1.9,1.95,1.92,1.95,1.97,1.97,1.87,1.88,0.25,1.8,2.05,1.85,2.04,1.85,2.11,1.78,2.0,1128.01,1267.06
E3,05/08/2023,15:00,Grimsby,AFC Wimbledon,0,0,D,0,0,D,M Corlett,15,10,5,4,10,12,8,5,4,3,0,0,2.0,3.5,3.8,2.0,3.4,3.5,2.0,3.25,3.5,2.06,3.45,3.87,1.95,3.1,3.4,2.05,3.3,3.7,2.06,3.5,3.87,2.01,3.38,3.66,2.05,1.75,2.09,1.79,2.1,1.79,2.02,1.75,-0.5,2.03,1.83,2.06,1.84,2.06,1.84,1.99,1.79,2.0,3.5,3.8,2.05,3.3,3.5,2.05,3.25,3.5,2.1,3.43,3.77,1.95,3.2,3.4,2.0,3.4,3.7,2.1,3.5,3.89,2.02,3.36,3.67,2.05,1.75,2.1,1.78,2.12,1.8,2.03,1.75,-0.5,2.03,1.83,2.1,1.81,2.1,1.85,2.0,1.78,1206.52,1106.11
E3,05/08/2023,15:00,Morecambe,Walsall,2,1,H,1,1,D,M Coy,7,11,5,1,12,7,5,3,6,4,0,0,2.6,3.2,2.8,2.5,3.25,2.7,2.5,3.05,2.65,2.7,3.26,2.82,2.5,3.0,2.5,2.63,3.13,2.8,2.7,3.3,2.83,2.59,3.2,2.72,2.15,1.67,2.18,1.72,2.2,1.72,2.13,1.67,0.0,1.83,2.03,1.9,1.99,1.92,2.04,1.84,1.93,2.7,3.2,2.75,2.6,3.2,2.65,2.55,3.05,2.6,2.73,3.2,2.83,2.5,3.0,2.5,2.63,3.25,2.7,2.73,3.3,2.83,2.62,3.18,2.7,2.15,1.67,2.24,1.69,2.24,1.8,2.15,1.67,0.0,1.9,1.95,1.91,1.98,1.96,1.98,1.86,1.92,1241.35,1160.44
E3,05/08/2023,15:00,Stockport,Gillingham,0,1,A,0,0,D,B Speedie,16,6,3,3,11,11,6,1,0,5,0,0,1.75,3.6,5.0,1.78,3.5,4.4,1.8,3.35,4.4,1.79,3.57,5.1,1.67,3.25,4.6,1.75,3.4,5.0,1.8,3.6,5.5,1.75,3.49,4.82,2.25,1.62,2.31,1.65,2.31,1.65,2.25,1.61,-0.75,1.98,1.83,2.04,1.85,2.04,1.85,1.96,1.81,1.67,3.75,5.5,1.65,3.6,5.25,1.65,3.45,5.0,1.67,3.7,6.01,1.62,3.25,5.0,1.65,3.6,5.75,1.7,3.8,6.01,1.65,3.59,5.48,2.25,1.62,2.31,1.65,2.33,1.67,2.23,1.62,-0.75,1.85,2.0,1.88,2.02,1.94,2.06,1.84,1.95,1344.84,1220.5
E3,05/08/2023,15:00,Sutton,Notts County,5,1,H,2,0,H,S Purkiss,12,14,6,3,16,8,4,5,3,3,0,1,4.75,4.0,1.67,4.1,3.9,1.73,4.4,3.75,1.7,4.71,4.13,1.72,4.0,3.7,1.65,4.5,4.0,1.7,4.75,4.2,1.73,4.44,3.98,1.69,1.62,2.25,1.62,2.38,1.67,2.38,1.59,2.29,0.75,1.95,1.9,1.98,1.91,1.98,1.93,1.91,1.85,3.6,3.8,1.95,3.7,3.7,1.88,3.45,3.45,1.97,4.03,3.7,1.93,3.4,3.5,1.83,3.5,3.8,1.95,4.03,4.2,2.05,3.68,3.62,1.93,1.73,2.08,1.79,2.08,1.81,2.16,1.73,2.04,0.5,1.93,1.93,1.95,1.93,1.95,2.02,1.87,1.91,1191.48,1393.98
E3,05/08/2023,15:00,Tranmere,Barrow,1,2,A,0,1,A,O Yates,17,7,3,3,9,8,7,4,2,2,0,0,2.4,3.3,3.0,2.35,3.3,2.9,2.4,3.1,2.85,2.45,3.17,3.23,2.2,3.1,2.9,2.38,3.2,3.1,2.45,3.4,3.23,2.35,3.21,3.06,2.25,1.62,2.34,1.64,2.34,1.67,2.23,1.62,-0.25,2.05,1.8,2.08,1.83,2.08,1.83,1.99,1.79,2.4,3.3,3.0,2.4,3.2,2.9,2.45,3.0,2.85,2.68,3.08,2.99,2.3,3.0,2.8,2.5,3.25,2.88,2.68,3.3,3.1,2.48,3.13,2.92,2.35,1.57,2.41,1.6,2.41,1.64,2.29,1.59,-0.25,2.15,1.73,2.25,1.69,2.25,1.82,2.1,1.71,1187.12,1156.21
E3,05/08/2023,15:00,Wrexham,Milton Keynes Dons,3,5,A,1,2,A,T Reeves,23,8,5,6,15,9,5,4,2,3,0,0,1.67,3.75,5.25,1.63,3.9,5.0,1.63,3.7,4.8,1.69,3.98,5.13,1.55,3.7,4.8,1.65,3.9,5.0,1.69,4.0,5.5,1.64,3.91,4.99,1.83,2.03,1.84,2.04,1.87,2.04,1.8,1.97,-0.75,1.8,2.05,1.88,2.0,1.88,2.05,1.81,1.97,1.7,3.75,5.0,1.75,3.7,4.4,1.7,3.55,4.4,1.74,3.82,5.04,1.65,3.5,4.33,1.7,3.9,4.6,1.75,4.0,5.5,1.71,3.74,4.73,1.88,1.98,1.9,1.97,1.97,2.02,1.84,1.92,-0.75,1.93,1.93,1.95,1.93,2.02,2.0,1.9,1.88,1418.76,1289.63
E3,12/08/2023,15:00,AFC Wimbledon,Wrexham,1,1,D,0,1,A,D Drysdale,13,10,3,6,12,12,6,4,3,2,0,0,3.75,3.5,2.0,3.3,3.5,2.05,3.45,3.3,2.05,3.61,3.62,2.08,3.4,3.3,1.91,3.5,3.5,2.05,3.75,3.65,2.08,3.48,3.5,2.02,1.88,1.98,1.9,1.97,1.9,2.0,1.83,1.92,0.5,1.78,2.03,1.83,2.08,1.83,2.08,1.77,2.0,3.3,3.4,2.2,3.0,3.4,2.2,3.15,3.25,2.2,3.42,3.51,2.19,3.0,3.25,2.05,3.13,3.5,2.2,3.5,3.54,2.25,3.23,3.42,2.15,1.9,1.95,1.88,1.99,1.97,1.99,1.85,1.9,0.25,1.98,1.88,2.0,1.89,2.04,1.93,1.93,1.85,1112.61,1399.03
E3,12/08/2023,15:00,Barrow,Sutton,2,1,H,0,1,A,M Woods,17,9,7,3,8,7,9,1,0,1,0,1,2.4,3.1,3.2,2.35,3.2,2.95,2.35,3.0,2.9,2.45,3.13,3.28,2.25,3.0,2.88,2.4,3.1,3.13,2.45,3.3,3.28,2.37,3.1,3.09,2.35,1.57,2.43,1.6,2.43,1.6,2.32,1.57,-0.25,2.05,1.8,2.07,1.83,2.07,1.83,1.99,1.78,2.2,3.2,3.5,2.2,3.1,3.25,2.15,3.0,3.35,2.25,3.16,3.67,2.05,3.0,3.3,2.2,3.1,3.5,2.3,3.25,3.72,2.18,3.13,3.46,2.35,1.57,2.43,1.6,2.43,1.6,2.33,1.56,-0.25,1.88,1.98,1.9,1.98,1.95,2.02,1.85,1.93,1173.21,1207.56
E3,12/08/2023,15:00,Bradford,Colchester,2,1,H,1,1,D,M Edwards,19,11,7,2,3,9,4,11,2,2,0,0,1.91,3.4,4.2,1.83,3.5,4.1,1.85,3.35,3.95,1.92,3.57,4.15,1.75,3.3,3.9,1.9,3.4,4.2,1.95,3.6,4.2,1.88,3.45,4.03,2.08,1.73,2.14,1.72,2.14,1.75,2.06,1.71,-0.5,1.9,1.95,1.93,1.95,1.93,2.0,1.87,1.9,1.83,3.5,4.5,1.85,3.4,4.1,1.85,3.3,4.0,1.88,3.55,4.53,1.75,3.3,3.9,1.83,3.5,4.4,1.88,3.55,5.0,1.83,3.45,4.3,2.08,1.73,2.14,1.75,2.16,1.75,2.06,1.72,-0.5,1.85,2.0,1.88,2.02,1.88,2.05,1.83,1.95,1259.9,1163.7
E3,12/08/2023,15:00,Gillingham,Accrington,1,0,H,1,0,H,W Finnie,17,9,4,1,14,13,9,1,3,2,0,0,2.05,3.4,3.8,2.05,3.3,3.5,2.05,3.15,3.5,2.08,3.31,3.99,1.91,3.1,3.6,2.05,3.25,3.75,2.08,3.8,4.1,2.01,3.27,3.76,2.25,1.62,2.3,1.66,2.3,1.66,2.25,1.61,-0.5,2.03,1.78,2.08,1.83,2.08,1.85,2.0,1.77,1.91,3.6,4.2,1.95,3.3,3.8,1.95,3.3,3.75,1.93,3.44,4.42,1.85,3.4,3.4,1.95,3.3,4.1,1.97,3.6,4.42,1.91,3.38,4.02,2.15,1.67,2.24,1.69,2.24,1.72,2.16,1.65,-0.5,1.9,1.95,1.93,1.95,1.96,1.98,1.89,1.88,1240.11,1235.9
