Liga,Správně,Celkem,Úspěšnost (%)
B1_elo,4385,9468,46.313899450781584
D1_elo,4971,11086,44.84033916651632
D2_elo,4655,11103,41.92560569215527
E0_elo,6453,13101,49.255782001373944
E1_elo,8156,17784,45.86144849302744
E2_elo,8205,17662,46.45566753482051
E3_elo,7751,17709,43.768705178157994
EC_elo,5048,10866,46.45683784281244
F1_elo,5757,12795,44.99413833528722
F2_elo,5015,11624,43.14349621472815
G1_elo,4536,9552,47.48743718592965
I1_elo,5947,12660,46.97472353870458
I2_elo,5414,12183,44.43897233850447
N1_elo,5382,11278,47.72122716793758
P1_elo,4889,10263,47.63714313553542
SC0_elo,3534,8268,42.743105950653124
SC1_elo,2552,7781,32.79784089448657
SC2_elo,2336,6133,38.089026577531385
SC3_elo,2377,6129,38.78283569913526
SP1_elo,6375,13110,48.62700228832952
SP2_elo,6025,13690,44.010226442658876
T1_elo,5254,11104,47.316282420749275
