Rok,Správně,Celkem,Úspěšnost (%)
1993-94,1964,5520,35.57971014492753
1994-95,2708,8280,32.70531400966183
1995-96,2835,8832,32.099184782608695
1996-97,3223,9936,32.437600644122384
1997-98,3561,8646,41.186675919500345
1998-99,3500,9876,35.43944916970433
1999-00,3545,11592,30.58143547273982
2000-01,3563,7094,50.22554271215112
2001-02,3482,7096,49.06989853438557
2002-03,3511,7149,49.11176388306057
2003-04,3592,7412,48.46195358877496
2004-05,3607,7324,49.24904423812125
2005-06,3761,7786,48.304649370665295
2006-07,3818,7810,48.88604353393086
2007-08,3826,7810,48.98847631241998
2008-09,3825,7810,48.97567221510884
2009-10,3766,7634,49.33193607545193
2010-11,3756,7744,48.50206611570248
2011-12,3757,7744,48.51497933884297
2012-13,3696,7764,47.60432766615147
2013-14,3820,7826,48.81165346281625
2014-15,3807,7938,47.95918367346938
2015-16,3730,7832,47.625127681307454
2016-17,3850,7810,49.29577464788733
2017-18,3845,7810,49.23175416133162
2018-19,3733,7690,48.543563068920676
2019-20,3283,6904,47.55214368482039
2020-21,3544,7648,46.33891213389121
2021-22,3794,7822,48.50421886985426
2022-23,3869,7829,49.41882743645421
2023-24,3798,7800,48.69230769230769
2024-25,3771,7681,49.09516989975264
2025-26,877,1900,46.1578947368421
