Rok,Správně,Celkem,Úspěšnost (%)
1993-94,1981,5520,35.88768115942029
1994-95,2673,8280,32.28260869565218
1995-96,2793,8832,31.623641304347828
1996-97,3215,9936,32.35708534621578
1997-98,3530,8646,40.828128614388156
1998-99,3468,9876,35.11543134872418
1999-00,3517,11592,30.339889579020014
2000-01,3557,7094,50.14096419509445
2001-02,3457,7096,48.71758737316798
2002-03,3467,7149,48.49629318785844
2003-04,3566,7412,48.11117107393416
2004-05,3598,7324,49.12616056799563
2005-06,3735,7786,47.97071667094785
2006-07,3793,7810,48.56594110115237
2007-08,3792,7810,48.55313700384123
2008-09,3792,7810,48.55313700384123
2009-10,3750,7634,49.122347393240766
2010-11,3745,7744,48.36002066115703
2011-12,3760,7744,48.553719008264466
2012-13,3641,7764,46.89592993302421
2013-14,3790,7826,48.428315870176334
2014-15,3770,7938,47.49307130259511
2015-16,3696,7832,47.19101123595505
2016-17,3799,7810,48.64276568501921
2017-18,3798,7810,48.62996158770807
2018-19,3688,7690,47.958387516254874
2019-20,3248,6904,47.04519119351101
2020-21,3513,7648,45.93357740585774
2021-22,3766,7822,48.146254154947584
2022-23,3843,7829,49.08672882871375
2023-24,3766,7800,48.28205128205128
2024-25,3744,7681,48.74365317016014
2025-26,873,1900,45.94736842105263
