Rok,B1_elo,D1_elo,D2_elo,E0_elo,E1_elo,E2_elo,E3_elo,EC_elo,F1_elo,F2_elo,G1_elo,I1_elo,I2_elo,N1_elo,P1_elo,SC0_elo,SC1_elo,SC2_elo,SC3_elo,SP1_elo,SP2_elo,T1_elo
1993-94,,27.72,32.79,35.87,49.46,48.73,34.78,,35.87,,,27.17,,28.99,,,,,,34.42,,
1994-95,,28.44,25.18,40.4,47.28,48.91,39.86,,36.59,,34.96,29.71,,29.53,31.7,13.77,16.12,,,34.42,,33.7
1995-96,28.44,23.01,27.72,34.42,41.3,47.46,45.47,,36.05,,32.43,30.62,,28.8,32.43,16.85,16.12,,,40.22,,32.25
1996-97,27.72,27.72,27.72,30.43,47.1,48.01,45.65,,32.97,39.13,34.06,26.09,,27.72,30.25,16.67,16.49,,,42.39,29.53,34.24
1997-98,47.39,46.73,42.48,49.21,50.91,47.28,49.28,,50.33,40.4,36.23,51.31,46.32,59.48,53.27,50.56,13.77,13.04,15.04,48.95,46.54,53.59
1998-99,30.07,50.65,50.33,48.95,48.91,44.75,46.56,,27.54,30.98,34.24,53.59,45.79,27.17,28.44,45.56,15.94,15.76,13.95,49.21,46.1,31.52
1999-00,30.43,28.8,26.45,36.41,51.81,44.93,45.83,,28.44,30.43,36.59,28.62,34.78,31.7,28.8,15.94,16.3,13.22,13.59,32.61,35.51,30.98
2000-01,55.88,52.29,50.98,50.0,46.2,48.55,48.55,,48.37,46.32,63.75,50.65,49.21,53.92,55.23,53.07,45.56,39.44,51.11,52.37,42.86,58.5
2001-02,51.63,55.23,53.92,50.79,48.19,50.18,48.73,,50.0,42.89,46.67,51.63,43.68,54.9,58.5,58.77,40.88,36.46,45.0,46.84,41.34,52.94
2002-03,56.93,50.81,48.04,52.63,46.38,46.38,42.75,,49.47,48.16,62.08,50.16,48.56,58.17,51.63,55.26,51.38,43.09,48.33,47.11,38.1,54.25
2003-04,48.69,55.23,45.42,48.95,46.92,45.47,46.2,,51.05,44.74,60.42,50.33,46.74,51.31,56.86,57.02,50.0,38.43,44.91,48.16,41.34,51.63
