season,file,round,matches,correct,accuracy,logloss,brier,rps
1993-94,D1_elo.csv,1,9,2,0.2222222222222222,1.8404869726207491,1.148888888888889,0.3211111111111112
1993-94,D1_elo.csv,2,9,2,0.2222222222222222,1.8404869726207491,1.148888888888889,0.45333333333333337
1993-94,D1_elo.csv,3,9,3,0.3333333333333333,1.6094379124341005,0.9933333333333335,0.3772222222222223
1993-94,D1_elo.csv,4,9,4,0.4444444444444444,1.3783888522474521,0.8377777777777777,0.2105555555555556
1993-94,D1_elo.csv,5,9,5,0.5555555555555556,1.1473397920608035,0.6822222222222221,0.3011111111111111
1993-94,D1_elo.csv,6,9,3,0.3333333333333333,1.6094379124341005,0.9933333333333333,0.22500000000000003
1993-94,D1_elo.csv,7,9,4,0.4444444444444444,1.3783888522474521,0.8377777777777777,0.28055555555555556
1993-94,D1_elo.csv,8,9,3,0.3333333333333333,1.6094379124341005,0.9933333333333335,0.2788888888888889
1993-94,D1_elo.csv,9,9,2,0.2222222222222222,1.8404869726207491,1.148888888888889,0.3566666666666667
1993-94,D1_elo.csv,10,9,3,0.3333333333333333,1.6094379124341005,0.9933333333333335,0.31388888888888894
1993-94,D1_elo.csv,11,9,5,0.5555555555555556,1.147339792060803,0.6822222222222221,0.3011111111111111
1993-94,D1_elo.csv,12,9,2,0.2222222222222222,1.8404869726207491,1.148888888888889,0.3566666666666667
1993-94,D1_elo.csv,13,9,2,0.2222222222222222,1.8404869726207491,1.148888888888889,0.39944444444444455
1993-94,D1_elo.csv,14,9,3,0.3333333333333333,1.6094379124341007,0.9933333333333335,0.40277777777777785
1993-94,D1_elo.csv,15,9,2,0.2222222222222222,1.8404869726207491,1.148888888888889,0.4805555555555557
1993-94,D1_elo.csv,16,9,3,0.3333333333333333,1.6094379124341005,0.9933333333333333,0.44722222222222224
1993-94,D1_elo.csv,17,9,3,0.3333333333333333,1.6094379124341007,0.9933333333333335,0.3677777777777778
1993-94,D1_elo.csv,18,9,3,0.3333333333333333,1.6094379124341005,0.9933333333333335,0.40277777777777785
1993-94,D1_elo.csv,19,9,0,0.0,2.3025850929940463,1.4600000000000004,0.5027777777777779
1993-94,D1_elo.csv,20,9,1,0.1111111111111111,2.0715360328073977,1.3044444444444447,0.4694444444444445
1993-94,D1_elo.csv,21,9,1,0.1111111111111111,2.0715360328073977,1.3044444444444447,0.4694444444444445
1993-94,D1_elo.csv,22,9,4,0.4444444444444444,1.3783888522474521,0.8377777777777777,0.3438888888888889
1993-94,D1_elo.csv,23,9,0,0.0,2.3025850929940463,1.4600000000000004,0.4583333333333334
1993-94,D1_elo.csv,24,9,5,0.5555555555555556,1.1473397920608035,0.6822222222222222,0.2916666666666667
1993-94,D1_elo.csv,25,9,6,0.6666666666666666,0.9162907318741552,0.5266666666666667,0.25833333333333336
1993-94,D1_elo.csv,26,9,3,0.3333333333333333,1.6094379124341005,0.9933333333333335,0.3583333333333334
1993-94,D1_elo.csv,27,9,5,0.5555555555555556,1.1473397920608035,0.6822222222222223,0.24722222222222223
1993-94,D1_elo.csv,28,9,4,0.4444444444444444,1.3783888522474517,0.8377777777777777,0.325
1993-94,D1_elo.csv,29,8,5,0.625,1.0029341294441483,0.5850000000000001,0.1875
1993-94,D1_elo.csv,30,9,1,0.1111111111111111,2.0715360328073977,1.3044444444444447,0.5677777777777779
1993-94,D1_elo.csv,31,9,6,0.6666666666666666,0.9162907318741552,0.5266666666666668,0.2138888888888889
1993-94,D1_elo.csv,32,10,2,0.2,1.8866967846580789,1.1800000000000002,0.46500000000000014
1993-94,D1_elo.csv,33,9,4,0.4444444444444444,1.3783888522474521,0.8377777777777777,0.2805555555555556
1993-94,D1_elo.csv,34,9,6,0.6666666666666666,0.9162907318741552,0.5266666666666668,0.25833333333333336
1993-94,D2_elo.csv,1,10,4,0.4,1.4708084763221116,0.9,0.25000000000000006
1993-94,D2_elo.csv,2,10,2,0.2,1.8866967846580789,1.1800000000000002,0.522
1993-94,D2_elo.csv,3,10,5,0.5,1.2628643221541278,0.76,0.3405
1993-94,D2_elo.csv,4,10,2,0.2,1.8866967846580789,1.1800000000000002,0.5050000000000001
