season,file,round,round_start,window_days,matches,correct,accuracy
1993-94,D1_elo.csv,2,1993-08-14,1825,9,6,0.6666666666666666
1993-94,D1_elo.csv,3,1993-08-21,1825,9,7,0.7777777777777778
1993-94,D1_elo.csv,4,1993-08-28,1825,9,2,0.2222222222222222
1993-94,D1_elo.csv,5,1993-09-01,1825,9,7,0.7777777777777778
1993-94,D1_elo.csv,6,1993-09-04,1825,9,1,0.1111111111111111
1993-94,D1_elo.csv,7,1993-09-08,1825,9,3,0.3333333333333333
1993-94,D1_elo.csv,8,1993-09-18,1825,9,1,0.1111111111111111
1993-94,D1_elo.csv,9,1993-09-25,1825,9,3,0.3333333333333333
1993-94,D1_elo.csv,10,1993-10-02,1825,9,3,0.3333333333333333
1993-94,D1_elo.csv,11,1993-10-09,1825,9,7,0.7777777777777778
1993-94,D1_elo.csv,12,1993-10-16,1825,9,5,0.5555555555555556
1993-94,D1_elo.csv,13,1993-10-23,1825,9,4,0.4444444444444444
1993-94,D1_elo.csv,14,1993-10-30,1825,9,5,0.5555555555555556
1993-94,D1_elo.csv,15,1993-11-06,1825,9,7,0.7777777777777778
1993-94,D1_elo.csv,16,1993-11-13,1825,9,5,0.5555555555555556
1993-94,D1_elo.csv,17,1993-11-20,1825,9,5,0.5555555555555556
1993-94,D1_elo.csv,18,1993-11-27,1825,9,5,0.5555555555555556
1993-94,D1_elo.csv,19,1993-12-04,1825,9,3,0.3333333333333333
1993-94,D1_elo.csv,20,1993-12-11,1825,9,4,0.4444444444444444
1993-94,D1_elo.csv,21,1994-02-12,1825,9,3,0.3333333333333333
1993-94,D1_elo.csv,22,1994-02-19,1825,9,5,0.5555555555555556
1993-94,D1_elo.csv,23,1994-02-26,1825,9,1,0.1111111111111111
1993-94,D1_elo.csv,24,1994-03-05,1825,9,5,0.5555555555555556
1993-94,D1_elo.csv,25,1994-03-12,1825,9,8,0.8888888888888888
1993-94,D1_elo.csv,26,1994-03-19,1825,9,4,0.4444444444444444
1993-94,D1_elo.csv,27,1994-03-26,1825,9,4,0.4444444444444444
1993-94,D1_elo.csv,28,1994-04-02,1825,9,4,0.4444444444444444
1993-94,D1_elo.csv,29,1994-04-03,1825,8,5,0.625
1993-94,D1_elo.csv,30,1994-04-06,1825,9,7,0.7777777777777778
1993-94,D1_elo.csv,31,1994-04-09,1825,9,5,0.5555555555555556
1993-94,D1_elo.csv,32,1994-04-16,1825,10,4,0.4
1993-94,D1_elo.csv,33,1994-04-30,1825,9,5,0.5555555555555556
1993-94,D1_elo.csv,34,1994-05-07,1825,9,5,0.5555555555555556
1994-95,D1_elo.csv,1,1994-08-19,1825,9,4,0.4444444444444444
1994-95,D1_elo.csv,2,1994-08-23,1825,9,2,0.2222222222222222
1994-95,D1_elo.csv,3,1994-08-26,1825,9,5,0.5555555555555556
1994-95,D1_elo.csv,4,1994-09-02,1825,9,5,0.5555555555555556
1994-95,D1_elo.csv,5,1994-09-17,1825,9,6,0.6666666666666666
1994-95,D1_elo.csv,6,1994-09-21,1825,9,5,0.5555555555555556
1994-95,D1_elo.csv,7,1994-09-30,1825,9,2,0.2222222222222222
1994-95,D1_elo.csv,8,1994-10-05,1825,9,5,0.5555555555555556
1994-95,D1_elo.csv,9,1994-10-15,1825,9,2,0.2222222222222222
1994-95,D1_elo.csv,10,1994-10-22,1825,9,6,0.6666666666666666
1994-95,D1_elo.csv,11,1994-10-28,1825,9,6,0.6666666666666666
1994-95,D1_elo.csv,12,1994-11-04,1825,9,4,0.4444444444444444
1994-95,D1_elo.csv,13,1994-11-11,1825,9,6,0.6666666666666666
1994-95,D1_elo.csv,14,1994-11-18,1825,9,3,0.3333333333333333
1994-95,D1_elo.csv,15,1994-11-25,1825,9,5,0.5555555555555556
1994-95,D1_elo.csv,16,1994-11-29,1825,6,6,1.0
1994-95,D1_elo.csv,17,1994-12-02,1825,12,6,0.5
1994-95,D1_elo.csv,18,1995-02-17,1825,9,7,0.7777777777777778
1994-95,D1_elo.csv,19,1995-02-25,1825,9,3,0.3333333333333333
1994-95,D1_elo.csv,20,1995-03-04,1825,8,6,0.75
1994-95,D1_elo.csv,21,1995-03-10,1825,9,4,0.4444444444444444
1994-95,D1_elo.csv,22,1995-03-17,1825,10,2,0.2
1994-95,D1_elo.csv,23,1995-03-25,1825,9,4,0.4444444444444444
1994-95,D1_elo.csv,24,1995-03-31,1825,9,4,0.4444444444444444
1994-95,D1_elo.csv,25,1995-04-07,1825,9,5,0.5555555555555556
1994-95,D1_elo.csv,26,1995-04-13,1825,9,5,0.5555555555555556
1994-95,D1_elo.csv,27,1995-04-21,1825,9,7,0.7777777777777778
1994-95,D1_elo.csv,28,1995-04-28,1825,9,5,0.5555555555555556
1994-95,D1_elo.csv,29,1995-05-05,1825,9,4,0.4444444444444444
1994-95,D1_elo.csv,30,1995-05-12,1825,9,3,0.3333333333333333
1994-95,D1_elo.csv,31,1995-05-19,1825,9,3,0.3333333333333333
