method,matches,correct,accuracy,logloss,brier,rps
gbm_calibrated,8980,4836,0.5385300668151448,0.9721294680861905,0.5775306526022262,0.19549560710511543
lr,8980,4826,0.5374164810690423,0.9708929531600271,0.5769722952476477,0.19536207839280567
gbm,8980,4818,0.5365256124721604,0.9743535162204803,0.5786256032251509,0.19595619868088993
mlp,8980,4802,0.5347438752783964,0.9734452158954945,0.5784291176268279,0.19602550246312725
Dixon-Coles,8982,4659,0.5187,1.0061,0.5987,0.2048
Elo (strict),8982,4624,0.5148,1.0201,0.606,0.2057
5 year ELO (strict),8982,4599,0.512,1.0067,0.602,0.206
Elo (threshold),8982,4598,0.5119,1.0201,0.606,0.2057
1 year ELO (strict),8982,4475,0.4982,1.0196,0.6112,0.2106
Dumb (tabulka),8982,4290,0.4776,1.3094,0.7913,0.2787
Random empirical,8982,3096,0.3447,1.1455,0.6593,0.2335
Random uniform,8982,3002,0.3342,1.0986,0.6667,0.2355
