method,model,strategy,selection,season,week,round_start,n_bets,round_staked,round_profit,bankroll_before,bankroll_after
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,1,2024-07-22,8,8000.0,50.0,100000.0,100050.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,2,2024-07-29,37,37000.0,-7250.0,100050.0,92800.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,3,2024-08-05,110,110000.0,-8810.0,92800.0,83990.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,4,2024-08-12,161,161000.0,-13800.0,83990.0,70190.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,5,2024-08-19,209,209000.0,-1290.0,70190.0,68900.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,6,2024-08-26,230,230000.0,-8310.0,68900.0,60590.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,7,2024-09-02,37,37000.0,3620.0,60590.0,64210.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,8,2024-09-09,201,201000.0,-12020.0,64210.0,52190.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,9,2024-09-16,205,205000.0,-5900.0,52190.0,46290.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,10,2024-09-23,227,227000.0,-26290.0,46290.0,20000.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,11,2024-09-30,240,240000.0,-23960.0,20000.0,-3960.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,12,2024-10-07,27,27000.0,-7980.0,-3960.0,-11940.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,13,2024-10-14,184,184000.0,10799.999999999998,-11940.0,-1140.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,14,2024-10-21,249,249000.0,420.0000000000018,-1140.0,-719.9999999999984
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,15,2024-10-28,194,194000.0,-3630.0,-719.9999999999984,-4349.999999999998
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,16,2024-11-04,218,218000.0,640.0000000000002,-4349.999999999998,-3709.999999999998
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,17,2024-11-11,54,54000.0,4860.0,-3709.999999999998,1150.0000000000018
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,18,2024-11-18,165,165000.0,-13470.0,1150.0000000000018,-12320.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,19,2024-11-25,184,184000.0,-16240.0,-12320.0,-28560.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,20,2024-12-02,216,216000.0,15260.0,-28560.0,-13300.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,21,2024-12-09,211,211000.0,-20760.0,-13300.0,-34060.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,22,2024-12-16,198,198000.0,-559.9999999999998,-34060.0,-34620.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,23,2024-12-23,177,177000.0,-26080.0,-34620.0,-60700.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,24,2024-12-30,162,162000.0,-27850.0,-60700.0,-88550.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,25,2025-01-06,120,120000.0,-11530.0,-88550.0,-100080.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,26,2025-01-13,217,217000.0,-18700.0,-100080.0,-118780.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,27,2025-01-20,212,212000.0,-14960.0,-118780.0,-133740.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,28,2025-01-27,221,221000.0,-13030.0,-133740.0,-146770.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,29,2025-02-03,178,178000.0,580.0,-146770.0,-146190.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,30,2025-02-10,229,229000.0,-21130.0,-146190.0,-167320.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,31,2025-02-17,220,220000.0,-17830.0,-167320.0,-185150.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,32,2025-02-24,210,210000.0,-27140.0,-185150.0,-212290.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,33,2025-03-03,234,234000.0,-31440.0,-212290.0,-243730.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,34,2025-03-10,226,226000.0,-7120.0,-243730.0,-250850.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,35,2025-03-17,61,61000.0,-11930.0,-250850.0,-262780.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,36,2025-03-24,189,189000.0,14150.0,-262780.0,-248630.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,37,2025-03-31,234,234000.0,-520.0,-248630.0,-249150.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,38,2025-04-07,221,221000.0,-33620.0,-249150.0,-282770.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,39,2025-04-14,166,166000.0,-24600.0,-282770.0,-307370.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,40,2025-04-21,255,255000.0,13610.0,-307370.0,-293760.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,41,2025-04-28,199,199000.0,-17210.0,-293760.0,-310970.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,42,2025-05-05,153,153000.0,-9190.0,-310970.0,-320160.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,43,2025-05-12,148,148000.0,-19850.0,-320160.0,-340010.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,44,2025-05-19,59,59000.0,-2100.0,-340010.0,-342110.0
train_4seasons_test_1season_weekly,gbm,fixed_stake,all,2024-25,45,2025-05-26,21,21000.0,8450.0,-342110.0,-333660.0
train_4seasons_test_1season_weekly,gbm,fractional_kelly,all,2024-25,1,2024-07-22,6,15150.201072947859,-3809.9933463015977,100000.0,96190.0066536984
train_4seasons_test_1season_weekly,gbm,fractional_kelly,all,2024-25,2,2024-07-29,14,38210.28767941322,-1303.880094404644,96190.0066536984,94886.12655929374
train_4seasons_test_1season_weekly,gbm,fractional_kelly,all,2024-25,3,2024-08-05,44,85199.58630145798,-16440.061946841903,94886.12655929374,78446.06461245187
train_4seasons_test_1season_weekly,gbm,fractional_kelly,all,2024-25,4,2024-08-12,73,106463.70182599305,-16937.074861259254,78446.06461245187,61508.98975119264
train_4seasons_test_1season_weekly,gbm,fractional_kelly,all,2024-25,5,2024-08-19,92,154379.6281745015,18211.729087263895,61508.98975119264,79720.71883845654
train_4seasons_test_1season_weekly,gbm,fractional_kelly,all,2024-25,6,2024-08-26,99,138367.57245800813,-9679.33732949809,79720.71883845654,70041.38150895841
train_4seasons_test_1season_weekly,gbm,fractional_kelly,all,2024-25,7,2024-09-02,11,16600.862939070565,8782.15075077073,70041.38150895841,78823.53225972914
train_4seasons_test_1season_weekly,gbm,fractional_kelly,all,2024-25,8,2024-09-09,83,169675.13196890708,-4243.959116631961,78823.53225972914,74579.57314309718
train_4seasons_test_1season_weekly,gbm,fractional_kelly,all,2024-25,9,2024-09-16,82,112286.4938517437,-1087.602963798353,74579.57314309718,73491.97017929879
train_4seasons_test_1season_weekly,gbm,fractional_kelly,all,2024-25,10,2024-09-23,91,138302.17855098957,-5775.385808924121,73491.97017929879,67716.58437037464
train_4seasons_test_1season_weekly,gbm,fractional_kelly,all,2024-25,11,2024-09-30,95,114246.60199045808,-20552.740715125852,67716.58437037464,47163.843655248784
train_4seasons_test_1season_weekly,gbm,fractional_kelly,all,2024-25,12,2024-10-07,9,8043.653167505804,607.3488215962986,47163.843655248784,47771.19247684508
